#  Oregon Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,28.5
199402,24.5
199403,30.1
199404,35.3
199405,41.1
199406,43.5
199407,51.8
199408,48.9
199409,46.1
199410,34.6
199411,24.4
199412,24.1
199501,29.4
199502,31.0
199503,29.4
199504,32.0
199505,40.1
199506,44.0
199507,50.1
199508,46.0
199509,46.1
199510,34.7
199511,35.2
199512,28.0
199601,26.8
199602,26.2
199603,30.1
199604,34.3
199605,37.0
199606,43.5
199607,51.9
199608,49.6
199609,41.5
199610,36.1
199611,31.2
199612,27.8
199701,25.2
199702,26.4
199703,30.4
199704,32.5
199705,42.2
199706,43.7
199707,49.1
199708,50.9
199709,45.6
199710,35.8
199711,32.8
199712,24.6
199801,29.2
199802,29.0
199803,30.2
199804,33.1
199805,38.9
199806,44.0
199807,53.6
199808,50.8
199809,47.2
199810,34.7
199811,32.4
199812,22.6
199901,27.1
199902,26.0
199903,28.0
199904,30.3
199905,35.6
199906,42.9
199907,47.1
199908,50.5
199909,41.9
199910,36.0
199911,34.7
199912,26.8
200001,25.8
200002,30.0
200003,28.0
200004,35.1
200005,39.4
200006,45.3
200007,49.3
200008,48.8
200009,43.2
200010,36.3
200011,25.6
200012,26.1
200101,24.2
200102,24.3
200103,31.0
200104,31.0
200105,39.9
200106,42.6
200107,49.3
200108,51.3
200109,45.2
200110,36.4
200111,31.6
200112,25.7
200201,25.0
200202,25.5
200203,26.7
200204,33.2
200205,37.1
200206,45.7
200207,52.0
200208,46.9
200209,43.1
200210,32.7
200211,30.4
200212,28.8
200301,32.2
200302,25.7
200303,32.3
200304,32.1
200305,38.8
200306,45.8
200307,53.1
200308,50.7
200309,45.6
200310,39.4
200311,26.9
200312,28.2
200401,25.6
200402,26.9
200403,32.3
200404,34.2
200405,39.5
200406,45.7
200407,51.8
200408,52.1
200409,42.7
200410,37.3
200411,29.6
200412,28.4
200501,26.5
200502,25.7
200503,31.4
200504,33.6
200505,41.4
200506,42.3
200507,51.1
200508,50.1
200509,41.0
200510,37.2
200511,29.0
200512,24.6
200601,28.7
200602,23.7
200603,27.7
200604,33.3
200605,39.7
200606,47.3
200607,53.0
200608,47.8
200609,43.4
200610,34.3
200611,30.7
200612,24.8
200701,20.6
200702,28.4
200703,32.1
200704,32.6
200705,38.8
200706,44.0
200707,53.9
200708,48.9
200709,41.8
200710,35.2
200711,29.3
200712,23.7
200801,20.8
200802,26.6
200803,26.4
200804,28.4
200805,39.3
200806,42.1
200807,50.0
200808,49.6
200809,43.3
200810,36.4
200811,33.7
200812,22.2
200901,25.4
200902,26.1
200903,26.9
200904,31.2
200905,39.6
200906,45.9
200907,51.8
200908,49.8
200909,45.5
200910,34.5
200911,28.9
200912,20.4
201001,31.0
201002,29.6
201003,28.7
201004,30.9
201005,35.5
201006,43.3
201007,49.1
201008,47.9
201009,44.5
201010,38.6
201011,28.7
201012,27.1
201101,25.8
201102,24.0
201103,30.1
201104,29.4
201105,35.5
201106,42.3
201107,47.8
201108,50.2
201109,46.6
201110,37.8
201111,28.1
201112,22.5
201201,25.6
201202,25.7
201203,28.9
201204,34.6
201205,37.5
201206,42.4
201207,50.8
201208,50.8
201209,45.2
201210,36.5
201211,32.7
201212,25.0
201301,21.0
201302,26.2
201303,30.0
201304,32.8
201305,39.4
201306,45.8
201307,52.8
201308,51.2
201309,46.1
201310,33.6
201311,30.1
201312,20.3
201401,27.5
201402,27.8
201403,31.4
201404,33.7
201405,40.1
201406,44.2
201407,54.2
201408,51.8
201409,46.2
201410,41.1
201411,29.6
201412,29.8
201501,29.9
201502,32.5
201503,33.7
201504,31.8
201505,41.6
201506,50.5
201507,52.6
201508,51.2
201509,43.4
201510,41.9
201511,27.1
201512,26.2
201601,26.2
201602,31.0
201603,32.0
201604,37.4
201605,40.9
201606,46.1
201607,49.4
201608,50.3
201609,42.7
201610,39.0
201611,35.0
201612,19.2
