#  Pennsylvania Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,9.2
199402,13.8
199403,24.9
199404,37.5
199405,41.5
199406,56.6
199407,61.7
199408,55.9
199409,49.6
199410,36.4
199411,34.1
199412,25.7
199501,22.7
199502,14.5
199503,28.4
199504,33.3
199505,44.9
199506,56.6
199507,61.4
199508,60.1
199509,47.8
199510,41.9
199511,27.8
199512,18.3
199601,14.8
199602,18.6
199603,21.5
199604,35.2
199605,44.6
199606,56.9
199607,57.6
199608,57.5
199609,52.7
199610,39.3
199611,27.5
199612,27.2
199701,16.6
199702,23.7
199703,27.9
199704,32.7
199705,40.5
199706,54.0
199707,57.4
199708,55.7
199709,49.4
199710,38.8
199711,30.2
199712,25.4
199801,27.5
199802,28.0
199803,30.4
199804,37.5
199805,51.0
199806,55.8
199807,58.2
199808,58.6
199809,52.2
199810,41.3
199811,31.8
199812,26.7
199901,18.0
199902,22.3
199903,24.1
199904,36.6
199905,46.1
199906,55.0
199907,61.8
199908,56.7
199909,51.6
199910,37.4
199911,34.7
199912,24.4
200001,16.6
200002,22.0
200003,31.2
200004,36.5
200005,48.0
200006,56.8
200007,56.2
200008,57.2
200009,49.4
200010,39.9
200011,30.1
200012,14.3
200101,18.5
200102,22.9
200103,25.0
200104,37.1
200105,46.2
200106,55.3
200107,55.8
200108,60.2
200109,48.4
200110,39.7
200111,34.2
200112,28.3
200201,24.9
200202,23.4
200203,27.7
200204,38.1
200205,42.4
200206,56.4
200207,60.6
200208,59.5
200209,52.4
200210,40.5
200211,31.8
200212,20.3
200301,13.4
200302,15.8
200303,25.6
200304,35.9
200305,46.3
200306,54.1
200307,58.8
200308,60.8
200309,52.2
200310,37.5
200311,35.3
200312,23.1
200401,12.3
200402,17.0
200403,29.7
200404,37.7
200405,51.4
200406,54.0
200407,59.6
200408,57.9
200409,53.7
200410,40.8
200411,34.2
200412,22.6
200501,18.2
200502,20.8
200503,23.2
200504,36.4
200505,41.1
200506,58.1
200507,61.7
200508,61.0
200509,52.8
200510,43.7
200511,32.2
200512,19.3
200601,26.7
200602,21.3
200603,27.2
200604,37.2
200605,44.9
200606,55.0
200607,62.0
200608,59.2
200609,51.2
200610,39.1
200611,35.2
200612,28.2
200701,23.4
200702,12.0
200703,26.0
200704,34.9
200705,45.5
200706,55.0
200707,56.8
200708,59.7
200709,51.7
200710,46.7
200711,30.8
200712,24.7
200801,21.2
200802,19.0
200803,25.8
200804,38.6
200805,41.4
200806,57.2
200807,59.7
200808,54.8
200809,51.9
200810,37.3
200811,31.1
200812,22.4
200901,12.3
200902,19.8
200903,27.0
200904,36.6
200905,46.5
200906,54.5
200907,56.0
200908,59.8
200909,51.5
200910,39.5
200911,35.8
200912,21.7
201001,18.7
201002,18.9
201003,31.3
201004,38.5
201005,48.7
201006,58.2
201007,61.2
201008,59.9
201009,51.6
201010,40.5
201011,30.9
201012,19.2
201101,15.0
201102,18.4
201103,26.4
201104,39.8
201105,50.4
201106,56.8
201107,61.9
201108,58.6
201109,56.0
201110,41.5
201111,34.4
201112,27.3
201201,21.3
201202,25.9
201203,35.7
201204,35.3
201205,51.9
201206,54.6
201207,62.6
201208,58.5
201209,51.1
201210,42.6
201211,29.0
201212,28.8
201301,21.2
201302,19.8
201303,26.2
201304,36.8
201305,46.5
201306,56.7
201307,62.8
201308,56.8
201309,48.8
201310,43.0
201311,28.5
201312,23.0
201401,10.1
201402,13.1
201403,19.6
201404,35.2
201405,47.2
201406,56.4
201407,58.3
201408,55.8
201409,51.2
201410,43.3
201411,28.3
201412,27.9
201501,14.1
201502,5.5
201503,21.2
201504,36.4
201505,50.6
201506,57.3
201507,59.5
201508,57.1
201509,55.1
201510,40.0
201511,35.2
201512,34.5
201601,16.7
201602,21.3
201603,31.6
201604,34.0
201605,46.5
201606,55.5
201607,61.2
201608,62.4
201609,54.1
201610,43.0
201611,31.8
201612,24.1
