#  South Carolina Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,29.9
199402,37.0
199403,43.6
199404,50.4
199405,55.0
199406,67.9
199407,70.1
199408,67.1
199409,61.0
199410,51.3
199411,45.6
199412,40.3
199501,34.3
199502,34.2
199503,44.0
199504,50.5
199505,59.3
199506,65.4
199507,70.4
199508,70.9
199509,62.8
199510,54.0
199511,37.9
199512,31.4
199601,31.9
199602,35.3
199603,38.5
199604,47.8
199605,59.5
199606,65.4
199607,70.0
199608,68.0
199609,62.5
199610,50.0
199611,38.3
199612,35.9
199701,35.4
199702,39.2
199703,47.7
199704,45.9
199705,53.0
199706,64.1
199707,69.8
199708,66.1
199709,62.9
199710,52.0
199711,39.1
199712,35.5
199801,38.1
199802,39.2
199803,41.6
199804,50.5
199805,61.3
199806,68.1
199807,71.4
199808,68.3
199809,64.1
199810,52.1
199811,45.7
199812,40.9
199901,36.3
199902,36.8
199903,38.0
199904,53.3
199905,55.9
199906,65.2
199907,70.7
199908,70.7
199909,60.2
199910,51.6
199911,44.2
199912,34.4
200001,32.9
200002,35.7
200003,44.5
200004,47.8
200005,60.0
200006,66.5
200007,68.8
200008,68.4
200009,62.6
200010,48.2
200011,39.6
200012,28.1
200101,31.4
200102,39.5
200103,40.7
200104,50.4
200105,57.3
200106,66.7
200107,68.5
200108,69.2
200109,60.4
200110,46.5
200111,44.8
200112,39.8
200201,34.9
200202,34.7
200203,43.0
200204,55.1
200205,56.0
200206,66.2
200207,70.7
200208,68.4
200209,67.1
200210,58.0
200211,40.4
200212,33.4
200301,30.1
200302,35.6
200303,46.5
200304,50.0
200305,60.2
200306,65.5
200307,69.9
200308,70.7
200309,61.8
200310,51.6
200311,45.5
200312,30.2
200401,30.8
200402,33.9
200403,43.6
200404,48.4
200405,62.3
200406,69.0
200407,70.0
200408,67.6
200409,64.7
200410,56.9
200411,45.4
200412,33.1
200501,36.3
200502,37.4
200503,40.2
200504,47.4
200505,55.2
200506,67.1
200507,72.0
200508,71.4
200509,65.8
200510,54.4
200511,42.7
200512,32.6
200601,38.7
200602,35.1
200603,42.0
200604,52.0
200605,56.2
200606,64.9
200607,69.3
200608,71.0
200609,62.3
200610,49.2
200611,41.7
200612,38.6
200701,37.5
200702,32.7
200703,44.7
200704,46.9
200705,55.6
200706,66.0
200707,67.9
200708,72.3
200709,64.4
200710,57.3
200711,39.9
200712,40.4
200801,33.1
200802,37.6
200803,41.5
200804,49.6
200805,56.3
200806,67.6
200807,68.6
200808,69.1
200809,64.4
200810,49.1
200811,38.1
200812,40.1
200901,33.4
200902,33.8
200903,42.9
200904,48.8
200905,61.0
200906,68.1
200907,67.9
200908,70.0
200909,63.6
200910,51.9
200911,45.0
200912,34.8
201001,29.4
201002,30.7
201003,40.1
201004,50.0
201005,62.2
201006,70.8
201007,71.5
201008,72.3
201009,64.5
201010,50.6
201011,41.0
201012,27.0
201101,29.5
201102,38.2
201103,43.6
201104,52.0
201105,59.1
201106,68.5
201107,71.7
201108,70.1
201109,63.5
201110,48.4
201111,42.2
201112,38.5
201201,36.0
201202,38.6
201203,51.1
201204,51.4
201205,61.9
201206,63.5
201207,71.8
201208,68.9
201209,63.0
201210,52.6
201211,38.0
201212,41.2
201301,38.8
201302,35.5
201303,36.2
201304,50.2
201305,56.8
201306,67.9
201307,70.7
201308,68.8
201309,62.9
201310,53.1
201311,39.2
201312,38.9
201401,27.9
201402,36.7
201403,37.5
201404,50.6
201405,59.4
201406,67.6
201407,69.1
201408,68.1
201409,66.1
201410,51.9
201411,36.8
201412,38.3
201501,32.8
201502,29.8
201503,44.9
201504,53.8
201505,59.3
201506,69.1
201507,71.0
201508,69.2
201509,64.9
201510,52.5
201511,47.9
201512,48.6
201601,32.6
201602,37.1
201603,48.3
201604,50.5
201605,59.1
201606,68.7
201607,72.5
201608,72.2
201609,67.2
201610,54.1
201611,42.0
201612,38.9
