#  South Dakota Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,0.5
199402,1.9
199403,24.4
199404,31.4
199405,46.6
199406,55.2
199407,55.8
199408,55.5
199409,48.6
199410,38.4
199411,23.6
199412,14.2
199501,9.9
199502,14.9
199503,20.7
199504,29.3
199505,42.2
199506,54.5
199507,58.6
199508,60.5
199509,45.9
199510,35.3
199511,19.4
199512,12.4
199601,-0.4
199602,12.0
199603,13.5
199604,29.4
199605,42.5
199606,55.0
199607,56.3
199608,56.9
199609,46.9
199610,33.6
199611,14.0
199612,2.6
199701,1.2
199702,13.6
199703,20.4
199704,28.3
199705,40.6
199706,55.7
199707,59.8
199708,57.5
199709,49.3
199710,35.8
199711,19.6
199712,18.8
199801,9.2
199802,24.5
199803,17.8
199804,34.0
199805,46.4
199806,50.6
199807,61.2
199808,59.6
199809,52.0
199810,37.8
199811,27.3
199812,13.6
199901,7.0
199902,22.2
199903,25.0
199904,33.8
199905,44.2
199906,53.8
199907,60.7
199908,57.3
199909,43.6
199910,33.4
199911,28.4
199912,17.4
200001,9.8
200002,18.1
200003,26.2
200004,31.6
200005,45.0
200006,51.4
200007,60.1
200008,59.2
200009,46.6
200010,37.6
200011,15.5
200012,0.7
200101,12.6
200102,2.4
200103,20.0
200104,34.2
200105,45.5
200106,53.9
200107,62.3
200108,59.0
200109,48.6
200110,34.0
200111,27.3
200112,14.9
200201,13.4
200202,16.8
200203,11.7
200204,31.0
200205,38.6
200206,56.1
200207,63.2
200208,57.0
200209,49.3
200210,29.3
200211,23.0
200212,16.2
200301,8.8
200302,7.8
200303,19.4
200304,35.2
200305,43.1
200306,52.0
200307,60.0
200308,60.4
200309,45.2
200310,37.3
200311,17.6
200312,17.7
200401,6.1
200402,12.5
200403,26.9
200404,32.9
200405,42.7
200406,49.4
200407,57.8
200408,52.4
200409,50.0
200410,36.6
200411,24.8
200412,16.3
200501,6.7
200502,17.0
200503,22.6
200504,35.1
200505,41.8
200506,56.8
200507,60.4
200508,56.9
200509,50.6
200510,35.8
200511,24.9
200512,11.8
200601,23.0
200602,12.3
200603,22.2
200604,36.9
200605,44.1
200606,55.0
200607,62.8
200608,58.6
200609,44.9
200610,31.7
200611,21.3
200612,15.2
200701,9.4
200702,5.9
200703,28.2
200704,31.1
200705,47.2
200706,55.8
200707,62.6
200708,59.4
200709,48.3
200710,37.8
200711,22.6
200712,9.0
200801,4.6
200802,7.2
200803,20.4
200804,28.6
200805,40.9
200806,51.6
200807,59.3
200808,57.9
200809,46.3
200810,35.0
200811,24.6
200812,3.5
200901,5.6
200902,13.0
200903,18.3
200904,31.0
200905,41.8
200906,51.8
200907,55.4
200908,54.2
200909,50.0
200910,31.4
200911,27.0
200912,5.3
201001,6.5
201002,5.2
201003,27.1
201004,36.9
201005,43.1
201006,54.7
201007,59.8
201008,60.0
201009,46.1
201010,38.0
201011,21.2
201012,8.6
201101,3.3
201102,6.0
201103,18.2
201104,32.7
201105,42.2
201106,53.0
201107,64.1
201108,58.4
201109,45.0
201110,38.0
201111,21.4
201112,15.9
201201,13.5
201202,13.9
201203,32.4
201204,36.8
201205,44.9
201206,56.5
201207,64.4
201208,55.3
201209,45.4
201210,32.9
201211,22.9
201212,11.4
201301,9.2
201302,13.7
201303,16.3
201304,25.5
201305,43.2
201306,53.4
201307,59.1
201308,59.4
201309,52.2
201310,34.3
201311,20.0
201312,2.9
201401,6.4
201402,2.5
201403,17.3
201404,30.0
201405,43.4
201406,52.8
201407,56.5
201408,58.0
201409,47.2
201410,36.5
201411,14.6
201412,14.8
201501,12.2
201502,7.0
201503,23.9
201504,33.3
201505,42.3
201506,55.8
201507,59.0
201508,56.8
201509,52.2
201510,39.1
201511,25.0
201512,16.1
201601,11.0
201602,21.4
201603,26.8
201604,33.9
201605,43.1
201606,56.4
201607,59.4
201608,57.4
201609,49.6
201610,38.7
201611,29.8
201612,6.2
