#  Utah Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,19.8
199402,18.9
199403,29.3
199404,35.2
199405,43.8
199406,53.8
199407,58.4
199408,58.6
199409,48.8
199410,35.7
199411,20.6
199412,20.1
199501,21.2
199502,26.9
199503,28.7
199504,31.9
199505,39.1
199506,46.1
199507,54.6
199508,57.0
199509,47.7
199510,34.0
199511,28.8
199512,21.2
199601,18.5
199602,22.5
199603,27.3
199604,32.5
199605,42.9
199606,52.2
199607,59.2
199608,56.1
199609,45.0
199610,34.9
199611,26.7
199612,20.9
199701,18.2
199702,18.9
199703,27.6
199704,30.6
199705,43.6
199706,51.3
199707,54.8
199708,56.8
199709,49.6
199710,34.7
199711,26.3
199712,16.4
199801,21.8
199802,22.7
199803,25.9
199804,31.4
199805,40.5
199806,45.9
199807,59.0
199808,57.1
199809,50.0
199810,35.8
199811,27.3
199812,15.7
199901,21.5
199902,22.3
199903,28.3
199904,30.1
199905,39.1
199906,49.4
199907,57.8
199908,55.5
199909,45.1
199910,35.2
199911,28.0
199912,17.3
200001,22.3
200002,25.9
200003,27.0
200004,36.8
200005,44.8
200006,51.8
200007,58.3
200008,58.9
200009,47.3
200010,37.6
200011,19.3
200012,19.8
200101,16.1
200102,21.7
200103,30.1
200104,34.6
200105,44.4
200106,51.0
200107,58.2
200108,57.6
200109,49.3
200110,37.8
200111,28.0
200112,15.3
200201,15.5
200202,15.7
200203,23.0
200204,35.7
200205,41.1
200206,52.4
200207,60.6
200208,55.0
200209,47.9
200210,34.2
200211,24.4
200212,19.4
200301,24.0
200302,20.6
200303,28.8
200304,33.1
200305,43.2
200306,50.9
200307,61.2
200308,58.5
200309,46.8
200310,40.0
200311,24.6
200312,20.7
200401,14.1
200402,17.9
200403,31.9
200404,35.7
200405,43.0
200406,51.1
200407,57.3
200408,54.2
200409,45.7
200410,38.0
200411,25.9
200412,20.2
200501,23.9
200502,23.6
200503,27.5
200504,32.8
200505,42.4
200506,47.6
200507,58.7
200508,54.8
200509,46.0
200510,37.4
200511,27.4
200512,18.2
200601,18.9
200602,18.7
200603,25.4
200604,34.9
200605,43.9
200606,53.0
200607,60.5
200608,55.2
200609,43.6
200610,35.5
200611,26.2
200612,17.4
200701,10.5
200702,23.1
200703,29.8
200704,35.0
200705,43.1
200706,51.9
200707,61.0
200708,58.5
200709,47.3
200710,35.4
200711,27.1
200712,15.0
200801,12.4
200802,19.8
200803,24.6
200804,28.7
200805,38.8
200806,49.4
200807,58.9
200808,56.7
200809,46.5
200810,36.1
200811,29.6
200812,16.5
200901,18.7
200902,22.1
200903,26.4
200904,32.2
200905,44.6
200906,48.5
200907,58.0
200908,54.0
200909,49.4
200910,33.0
200911,25.9
200912,11.2
201001,17.3
201002,20.1
201003,26.4
201004,31.7
201005,36.6
201006,50.8
201007,58.0
201008,54.9
201009,47.1
201010,39.0
201011,23.6
201012,23.7
201101,14.8
201102,17.3
201103,27.9
201104,31.0
201105,38.2
201106,48.1
201107,57.7
201108,57.4
201109,48.6
201110,37.0
201111,24.3
201112,15.9
201201,19.2
201202,20.9
201203,29.5
201204,35.6
201205,43.0
201206,52.0
201207,58.9
201208,58.6
201209,49.0
201210,37.1
201211,28.9
201212,18.4
201301,9.1
201302,16.4
201303,28.6
201304,32.0
201305,41.9
201306,53.0
201307,60.2
201308,57.3
201309,49.3
201310,33.6
201311,27.0
201312,12.5
201401,19.1
201402,24.8
201403,28.1
201404,33.7
201405,42.7
201406,50.5
201407,60.1
201408,54.7
201409,50.6
201410,39.5
201411,25.7
201412,22.5
201501,22.3
201502,27.0
201503,31.4
201504,33.5
201505,42.2
201506,55.1
201507,56.2
201508,56.8
201509,51.1
201510,42.6
201511,23.3
201512,16.7
201601,17.1
201602,22.0
201603,29.9
201604,35.6
201605,41.5
201606,55.2
201607,58.6
201608,55.5
201609,47.3
201610,40.6
201611,29.9
201612,17.2
