#  Vermont Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-6.7
199402,0.8
199403,18.1
199404,29.8
199405,38.5
199406,52.4
199407,58.2
199408,51.2
199409,45.5
199410,34.6
199411,27.8
199412,16.9
199501,16.4
199502,4.9
199503,22.4
199504,26.1
199505,39.6
199506,49.5
199507,57.5
199508,52.8
199509,40.8
199510,38.8
199511,23.6
199512,9.9
199601,4.8
199602,9.5
199603,15.0
199604,30.0
199605,38.6
199606,52.3
199607,54.7
199608,53.5
199609,48.2
199610,34.2
199611,22.5
199612,23.1
199701,6.2
199702,12.6
199703,14.5
199704,26.6
199705,37.2
199706,49.5
199707,52.2
199708,51.7
199709,44.7
199710,32.8
199711,23.8
199712,14.1
199801,13.3
199802,16.1
199803,21.6
199804,30.6
199805,45.2
199806,52.7
199807,54.6
199808,53.9
199809,46.6
199810,37.8
199811,29.1
199812,19.4
199901,6.5
199902,11.1
199903,19.7
199904,29.4
199905,42.3
199906,52.3
199907,56.6
199908,52.3
199909,49.4
199910,32.4
199911,30.4
199912,18.1
200001,5.1
200002,10.0
200003,23.3
200004,30.6
200005,42.1
200006,49.8
200007,52.2
200008,52.9
200009,44.4
200010,35.0
200011,28.1
200012,7.2
200101,7.9
200102,8.9
200103,16.2
200104,27.9
200105,41.6
200106,51.2
200107,51.9
200108,55.2
200109,45.3
200110,36.2
200111,29.5
200112,21.7
200201,17.2
200202,12.8
200203,20.5
200204,32.8
200205,37.9
200206,49.0
200207,54.9
200208,54.4
200209,48.3
200210,33.8
200211,24.8
200212,12.7
200301,-0.4
200302,3.4
200303,15.8
200304,27.2
200305,40.9
200306,50.0
200307,55.5
200308,57.4
200309,47.5
200310,34.4
200311,27.6
200312,12.6
200401,-1.8
200402,5.5
200403,22.0
200404,30.5
200405,43.1
200406,47.1
200407,55.6
200408,54.4
200409,47.0
200410,34.6
200411,25.7
200412,12.1
200501,3.8
200502,9.6
200503,14.2
200504,30.9
200505,38.1
200506,55.1
200507,57.5
200508,56.0
200509,49.1
200510,40.2
200511,27.4
200512,13.2
200601,17.0
200602,12.8
200603,19.6
200604,30.8
200605,44.2
200606,53.3
200607,58.3
200608,52.7
200609,46.2
200610,35.2
200611,32.6
200612,22.8
200701,10.4
200702,3.2
200703,14.4
200704,29.6
200705,39.9
200706,50.9
200707,53.8
200708,52.6
200709,46.3
200710,41.0
200711,24.5
200712,13.7
200801,12.2
200802,11.1
200803,15.2
200804,31.8
200805,36.8
200806,53.3
200807,56.4
200808,52.6
200809,47.7
200810,33.7
200811,27.3
200812,13.4
200901,0.5
200902,10.1
200903,18.7
200904,31.4
200905,40.6
200906,50.2
200907,54.2
200908,55.6
200909,44.2
200910,34.9
200911,30.0
200912,14.3
201001,12.7
201002,17.3
201003,26.2
201004,34.2
201005,42.7
201006,51.2
201007,58.2
201008,54.4
201009,49.1
201010,35.8
201011,27.2
201012,13.8
201101,7.0
201102,6.6
201103,17.9
201104,31.8
201105,45.9
201106,51.1
201107,56.6
201108,55.3
201109,51.2
201110,39.0
201111,30.1
201112,19.4
201201,12.6
201202,16.4
201203,27.5
201204,31.3
201205,46.1
201206,50.9
201207,55.7
201208,54.9
201209,45.4
201210,40.5
201211,24.2
201212,20.4
201301,8.8
201302,13.8
201303,21.3
201304,29.5
201305,42.0
201306,51.1
201307,59.4
201308,53.0
201309,45.5
201310,37.2
201311,22.7
201312,13.5
201401,4.9
201402,6.7
201403,6.6
201404,28.6
201405,42.2
201406,50.7
201407,55.2
201408,52.5
201409,45.8
201410,40.9
201411,25.5
201412,20.6
201501,0.6
201502,-6.8
201503,11.2
201504,28.4
201505,44.5
201506,49.5
201507,54.9
201508,55.5
201509,49.9
201510,33.5
201511,29.0
201512,28.1
201601,11.9
201602,13.7
201603,23.1
201604,25.6
201605,41.9
201606,49.6
201607,55.4
201608,56.2
201609,47.7
201610,38.5
201611,28.4
201612,15.7
