#  Virginia Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,20.4
199402,26.6
199403,33.6
199404,44.8
199405,46.6
199406,62.4
199407,66.2
199408,61.5
199409,53.2
199410,41.5
199411,37.9
199412,31.9
199501,28.7
199502,24.8
199503,34.8
199504,41.0
199505,51.1
199506,60.9
199507,65.3
199508,65.4
199509,55.3
199510,45.3
199511,31.6
199512,24.2
199601,23.3
199602,26.1
199603,29.4
199604,41.9
199605,51.6
199606,60.8
199607,63.0
199608,62.5
199609,56.5
199610,44.7
199611,30.9
199612,30.6
199701,25.0
199702,31.7
199703,36.3
199704,38.6
199705,45.3
199706,57.7
199707,64.0
199708,60.3
199709,54.8
199710,43.6
199711,33.7
199712,28.6
199801,32.0
199802,32.7
199803,35.2
199804,43.3
199805,54.9
199806,61.3
199807,64.2
199808,63.0
199809,58.5
199810,44.7
199811,34.7
199812,32.2
199901,28.3
199902,28.8
199903,30.6
199904,43.5
199905,49.5
199906,59.3
199907,66.7
199908,63.0
199909,55.0
199910,42.6
199911,38.8
199912,28.7
200001,23.3
200002,29.8
200003,36.6
200004,42.8
200005,53.0
200006,62.1
200007,62.6
200008,62.6
200009,55.7
200010,43.2
200011,32.2
200012,20.3
200101,23.7
200102,29.5
200103,31.0
200104,43.5
200105,50.8
200106,60.6
200107,61.0
200108,64.6
200109,53.3
200110,40.8
200111,36.6
200112,32.6
200201,28.3
200202,27.8
200203,34.0
200204,44.8
200205,49.3
200206,60.5
200207,65.7
200208,64.2
200209,58.5
200210,49.1
200211,35.2
200212,26.8
200301,22.3
200302,26.7
200303,35.6
200304,43.0
200305,52.4
200306,59.0
200307,64.8
200308,66.2
200309,56.7
200310,43.4
200311,39.7
200312,26.9
200401,22.3
200402,25.9
200403,35.8
200404,43.8
200405,57.6
200406,61.3
200407,65.0
200408,61.9
200409,58.2
200410,47.8
200411,39.2
200412,27.5
200501,28.1
200502,28.9
200503,31.5
200504,42.4
200505,47.6
200506,61.2
200507,67.4
200508,66.3
200509,57.8
200510,48.0
200511,35.9
200512,25.5
200601,32.0
200602,26.6
200603,33.8
200604,44.4
200605,48.3
200606,59.6
200607,65.3
200608,65.4
200609,55.2
200610,42.9
200611,37.6
200612,31.0
200701,30.0
200702,21.9
200703,35.9
200704,41.4
200705,51.7
200706,60.4
200707,62.3
200708,65.8
200709,56.5
200710,50.3
200711,34.6
200712,32.3
200801,25.7
200802,29.6
200803,34.4
200804,44.8
200805,49.1
200806,61.4
200807,63.1
200808,60.9
200809,58.1
200810,42.5
200811,33.8
200812,30.3
200901,23.0
200902,26.9
200903,34.4
200904,42.9
200905,53.6
200906,61.2
200907,61.4
200908,65.2
200909,57.0
200910,44.6
200911,39.3
200912,26.7
201001,23.8
201002,23.7
201003,36.2
201004,44.0
201005,54.7
201006,64.8
201007,65.9
201008,65.9
201009,56.8
201010,45.6
201011,34.0
201012,22.1
201101,23.3
201102,29.1
201103,34.8
201104,46.3
201105,53.7
201106,61.8
201107,66.7
201108,64.0
201109,59.3
201110,44.5
201111,37.1
201112,31.9
201201,28.3
201202,30.6
201203,42.4
201204,43.1
201205,56.5
201206,57.9
201207,67.9
201208,63.9
201209,55.9
201210,45.6
201211,31.4
201212,33.2
201301,29.1
201302,27.2
201303,30.2
201304,43.6
201305,51.3
201306,62.3
201307,66.7
201308,62.6
201309,55.0
201310,47.2
201311,32.6
201312,30.3
201401,18.3
201402,26.6
201403,28.8
201404,42.0
201405,52.9
201406,61.5
201407,62.9
201408,61.7
201409,58.9
201410,46.8
201411,31.2
201412,32.1
201501,24.4
201502,18.0
201503,32.7
201504,43.8
201505,54.9
201506,63.7
201507,65.8
201508,62.4
201509,59.1
201510,45.5
201511,40.4
201512,40.3
201601,23.2
201602,29.1
201603,39.8
201604,42.1
201605,52.2
201606,60.7
201607,67.1
201608,67.4
201609,61.9
201610,48.5
201611,35.3
201612,29.4
