#  West Virginia Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,15.5
199402,23.3
199403,30.0
199404,40.5
199405,42.8
199406,58.4
199407,62.3
199408,58.6
199409,50.6
199410,38.3
199411,35.1
199412,28.8
199501,24.6
199502,20.0
199503,32.0
199504,37.5
199505,47.5
199506,57.8
199507,61.6
199508,63.7
199509,50.7
199510,41.8
199511,29.0
199512,21.2
199601,20.4
199602,22.5
199603,25.3
199604,37.9
199605,49.1
199606,57.7
199607,58.4
199608,59.6
199609,53.6
199610,42.0
199611,28.4
199612,27.9
199701,21.0
199702,28.9
199703,33.5
199704,34.4
199705,41.5
199706,55.4
199707,60.2
199708,57.5
199709,50.8
199710,40.1
199711,31.7
199712,27.1
199801,30.0
199802,31.6
199803,33.0
199804,39.4
199805,52.2
199806,58.0
199807,60.6
199808,59.7
199809,54.3
199810,42.0
199811,32.2
199812,28.2
199901,24.7
199902,26.0
199903,25.6
199904,41.1
199905,45.9
199906,56.6
199907,63.0
199908,57.9
199909,49.8
199910,39.3
199911,35.1
199912,25.2
200001,19.0
200002,28.6
200003,33.3
200004,39.0
200005,49.6
200006,58.7
200007,58.6
200008,59.8
200009,52.6
200010,41.8
200011,30.3
200012,16.6
200101,20.3
200102,27.7
200103,27.8
200104,41.1
200105,48.5
200106,55.9
200107,58.4
200108,62.2
200109,50.5
200110,38.5
200111,33.2
200112,30.1
200201,25.4
200202,24.7
200203,30.9
200204,41.7
200205,44.6
200206,58.1
200207,63.2
200208,60.9
200209,54.5
200210,46.0
200211,32.9
200212,24.6
200301,17.7
200302,23.6
200303,32.9
200304,41.0
200305,50.1
200306,54.4
200307,60.8
200308,62.7
200309,53.7
200310,40.1
200311,36.4
200312,24.5
200401,18.5
200402,22.6
200403,33.5
200404,40.6
200405,53.6
200406,57.1
200407,61.1
200408,58.2
200409,54.8
200410,44.7
200411,37.6
200412,24.8
200501,25.8
200502,26.5
200503,28.3
200504,39.8
200505,43.1
200506,58.5
200507,63.9
200508,63.5
200509,54.4
200510,45.0
200511,32.4
200512,21.9
200601,29.3
200602,23.8
200603,30.6
200604,41.8
200605,44.9
200606,55.1
200607,61.6
200608,61.7
200609,52.5
200610,40.4
200611,34.9
200612,27.9
200701,27.0
200702,14.6
200703,34.0
200704,38.4
200705,48.7
200706,56.5
200707,58.0
200708,63.3
200709,53.5
200710,47.1
200711,32.3
200712,28.7
200801,21.2
200802,25.2
200803,30.8
200804,42.1
200805,44.6
200806,57.6
200807,58.9
200808,57.3
200809,54.6
200810,39.2
200811,29.6
200812,25.2
200901,18.4
200902,22.9
200903,32.9
200904,39.4
200905,49.7
200906,57.4
200907,57.4
200908,61.3
200909,54.2
200910,41.1
200911,35.8
200912,24.1
201001,21.1
201002,20.6
201003,32.8
201004,40.1
201005,51.0
201006,60.9
201007,62.1
201008,62.6
201009,51.8
201010,41.6
201011,31.2
201012,19.5
201101,19.2
201102,26.1
201103,32.3
201104,43.0
201105,50.7
201106,57.8
201107,63.6
201108,60.4
201109,55.6
201110,42.1
201111,34.9
201112,28.9
201201,25.1
201202,27.8
201203,39.5
201204,38.9
201205,53.8
201206,54.4
201207,64.2
201208,59.0
201209,52.1
201210,41.8
201211,28.0
201212,30.6
201301,25.1
201302,23.2
201303,28.3
201304,39.6
201305,48.1
201306,58.6
201307,62.4
201308,59.4
201309,52.7
201310,44.5
201311,29.4
201312,27.2
201401,12.2
201402,21.3
201403,25.0
201404,39.2
201405,48.6
201406,58.8
201407,58.7
201408,58.8
201409,53.9
201410,43.9
201411,27.8
201412,30.4
201501,20.3
201502,12.2
201503,28.6
201504,40.5
201505,51.1
201506,60.2
201507,62.2
201508,58.5
201509,56.1
201510,42.8
201511,37.0
201512,36.7
201601,17.4
201602,25.8
201603,36.4
201604,39.1
201605,48.7
201606,57.5
201607,63.3
201608,64.8
201609,56.4
201610,45.5
201611,33.5
201612,27.2
