#  Alabama Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.15
199402,0.05
199403,0.27
199404,-0.22
199405,-0.39
199406,0.96
199407,2.41
199408,2.02
199409,1.93
199410,2.52
199411,-0.12
199412,-0.51
199501,-0.54
199502,-0.34
199503,-0.65
199504,-0.56
199505,-0.87
199506,-0.93
199507,-1.52
199508,-1.53
199509,-1.68
199510,1.99
199511,2.63
199512,2.44
199601,2.93
199602,2.31
199603,2.75
199604,2.50
199605,1.57
199606,1.10
199607,1.23
199608,1.29
199609,1.84
199610,1.70
199611,1.48
199612,1.29
199701,1.57
199702,1.64
199703,0.60
199704,0.98
199705,1.48
199706,2.80
199707,2.60
199708,2.11
199709,1.71
199710,2.29
199711,2.81
199712,2.53
199801,3.15
199802,3.43
199803,3.09
199804,2.94
199805,-0.80
199806,-1.42
199807,-1.47
199808,-1.85
199809,1.14
199810,-0.40
199811,-0.67
199812,-0.96
199901,-0.08
199902,-0.93
199903,-0.95
199904,-1.68
199905,-0.04
199906,1.45
199907,-0.15
199908,-1.00
199909,-1.57
199910,-1.33
199911,-1.72
199912,-2.17
200001,-2.12
200002,-2.96
200003,-3.12
200004,-2.73
200005,-3.59
200006,-3.60
200007,-4.61
200008,-5.25
200009,-4.97
200010,-5.29
200011,1.10
200012,0.92
200101,0.78
200102,0.27
200103,1.36
200104,0.86
200105,0.73
200106,1.78
200107,1.30
200108,1.71
200109,2.04
200110,2.25
200111,-0.18
200112,-0.45
200201,-0.43
200202,-0.99
200203,-1.03
200204,-1.82
200205,-1.75
200206,-1.68
200207,-1.65
200208,-1.92
200209,0.97
200210,1.77
200211,2.11
200212,2.38
200301,1.38
200302,1.71
200303,1.00
200304,1.28
200305,2.54
200306,3.75
200307,4.34
200308,4.61
200309,4.38
200310,-0.13
200311,0.18
200312,-0.35
200401,-0.85
200402,-0.16
200403,-1.36
200404,-1.58
200405,-1.59
200406,1.19
200407,0.95
200408,1.21
200409,2.10
200410,2.37
200411,3.46
200412,3.12
200501,2.03
200502,1.69
200503,1.43
200504,2.07
200505,1.53
200506,2.17
200507,3.23
200508,3.65
200509,-0.05
200510,-0.58
200511,-0.67
200512,-0.85
200601,-0.85
200602,-0.76
200603,-1.62
200604,-2.16
200605,-1.87
200606,-2.39
200607,-3.12
200608,-3.37
200609,-3.19
200610,-2.18
200611,-1.60
200612,-1.73
200701,-1.80
200702,-2.31
200703,-3.52
200704,-3.40
200705,-4.23
200706,-4.57
200707,-4.40
200708,-5.05
200709,-5.02
200710,-4.40
200711,-4.36
200712,-4.37
200801,-4.19
200802,-3.61
200803,-3.86
200804,-3.58
200805,-3.10
200806,-3.29
200807,-3.54
200808,1.52
200809,0.82
200810,0.91
200811,0.69
200812,1.07
200901,0.76
200902,0.28
200903,0.89
200904,0.72
200905,2.07
200906,1.31
200907,1.23
200908,1.56
200909,2.58
200910,4.00
200911,3.90
200912,5.14
201001,5.04
201002,-0.16
201003,-0.37
201004,-0.96
201005,-0.35
201006,-0.78
201007,-1.61
201008,-1.71
201009,-2.51
201010,-2.47
201011,-2.10
201012,-2.67
201101,-2.65
201102,-2.91
201103,-2.20
201104,-2.06
201105,-2.64
201106,-2.99
201107,-3.02
201108,-3.87
201109,-2.44
201110,-2.60
201111,-2.32
201112,-2.13
201201,-1.90
201202,-2.01
201203,-2.41
201204,-3.08
201205,-3.05
201206,-2.80
201207,-2.64
201208,0.64
201209,1.16
201210,1.29
201211,0.52
201212,0.82
201301,1.00
201302,1.99
201303,1.26
201304,1.36
201305,1.30
201306,1.73
201307,2.87
201308,3.30
201309,2.97
201310,2.40
201311,2.11
201312,2.72
201401,1.82
201402,1.82
201403,1.51
201404,2.64
201405,2.44
201406,2.56
201407,-0.40
201408,-0.72
201409,-1.23
201410,-0.73
201411,-0.80
201412,-0.42
201501,-0.57
201502,-0.74
201503,-1.30
201504,-0.70
201505,-0.64
201506,-0.91
201507,-1.26
201508,-0.99
201509,-1.30
201510,-1.24
201511,0.68
201512,2.33
201601,-0.27
201602,-0.09
201603,-0.48
201604,-0.27
201605,-0.88
201606,-1.10
201607,-1.67
201608,-1.76
201609,-2.60
201610,-3.51
201611,-3.88
201612,-3.79
