#  Arizona Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-1.16
199402,-0.98
199403,-0.96
199404,-0.91
199405,-1.13
199406,-1.73
199407,-2.45
199408,-2.77
199409,0.09
199410,0.14
199411,0.64
199412,1.16
199501,2.03
199502,2.05
199503,2.18
199504,2.44
199505,3.01
199506,3.59
199507,-0.63
199508,-0.81
199509,-0.75
199510,-1.45
199511,-1.78
199512,-2.30
199601,-2.92
199602,-3.13
199603,-3.63
199604,-4.36
199605,-4.96
199606,-5.28
199607,-5.03
199608,-5.19
199609,-4.04
199610,-3.75
199611,-3.49
199612,-3.87
199701,-3.09
199702,-2.91
199703,-3.52
199704,-3.35
199705,-3.55
199706,-3.68
199707,-4.22
199708,0.01
199709,0.70
199710,0.48
199711,0.15
199712,0.61
199801,0.12
199802,1.54
199803,2.05
199804,2.35
199805,2.93
199806,3.43
199807,3.94
199808,-0.40
199809,0.16
199810,0.45
199811,0.41
199812,-0.56
199901,-1.46
199902,-2.16
199903,-2.98
199904,-2.37
199905,-2.89
199906,-3.19
199907,1.36
199908,1.53
199909,1.84
199910,-0.90
199911,-1.73
199912,-2.32
200001,-2.97
200002,-3.41
200003,-2.97
200004,-3.54
200005,-4.35
200006,-4.31
200007,-5.15
200008,-4.49
200009,-5.01
200010,2.19
200011,2.23
200012,1.36
200101,1.67
200102,1.55
200103,1.33
200104,1.62
200105,1.56
200106,-0.21
200107,-0.50
200108,-0.61
200109,-1.39
200110,-1.81
200111,-2.22
200112,-2.21
200201,-2.69
200202,-3.27
200203,-3.76
200204,-4.54
200205,-5.05
200206,-5.61
200207,-5.67
200208,-6.20
200209,-5.07
200210,-4.68
200211,-4.45
200212,-4.21
200301,-4.69
200302,-3.51
200303,-3.18
200304,-2.90
200305,-3.22
200306,-3.58
200307,-3.93
200308,-3.88
200309,-3.70
200310,-4.02
200311,-3.36
200312,-3.45
200401,-3.48
200402,-3.12
200403,-3.55
200404,-3.13
200405,-3.67
200406,-4.07
200407,-4.31
200408,-4.37
200409,0.32
200410,1.18
200411,1.84
200412,1.99
200501,2.93
200502,4.34
200503,3.95
200504,4.17
200505,5.10
200506,5.44
200507,-0.49
200508,-0.17
200509,-0.87
200510,-0.85
200511,-1.52
200512,-2.19
200601,-2.87
200602,-3.64
200603,-3.25
200604,-3.55
200605,-4.28
200606,-4.65
200607,-3.77
200608,-3.49
200609,-2.86
200610,-2.32
200611,-2.84
200612,-3.10
200701,-3.03
200702,-3.24
200703,-3.50
200704,-4.07
200705,-4.48
200706,-4.94
200707,-4.21
200708,-4.11
200709,-3.95
200710,-4.24
200711,-4.28
200712,-3.12
200801,-2.07
200802,-1.64
200803,-2.09
200804,-2.29
200805,-1.63
200806,-1.29
200807,-0.74
200808,-0.60
200809,-1.09
200810,-1.59
200811,-1.58
200812,-1.02
200901,-1.42
200902,-1.41
200903,-1.98
200904,-2.37
200905,-2.44
200906,-2.58
200907,-3.11
200908,-4.06
200909,-4.16
200910,-4.30
200911,-4.56
200912,0.06
201001,1.59
201002,1.88
201003,1.81
201004,1.80
201005,2.02
201006,2.32
201007,2.29
201008,-0.27
201009,-0.89
201010,-0.52
201011,-0.92
201012,-0.73
201101,-1.39
201102,-1.25
201103,-1.80
201104,-2.30
201105,-2.54
201106,-3.09
201107,-2.91
201108,-3.48
201109,-3.15
201110,-3.11
201111,-2.74
201112,-2.20
201201,-2.68
201202,-2.94
201203,-3.11
201204,-3.67
201205,-4.24
201206,-4.75
201207,-3.76
201208,-3.43
201209,-3.26
201210,-3.60
201211,-3.93
201212,-3.40
201301,-2.85
201302,-2.81
201303,-3.10
201304,-3.48
201305,-3.71
201306,-4.09
201307,-3.02
201308,-2.57
201309,-1.75
201310,-2.06
201311,-1.17
201312,-1.46
201401,-2.26
201402,-3.06
201403,-3.40
201404,-3.97
201405,-4.49
201406,-5.06
201407,-4.65
201408,-3.34
201409,-2.01
201410,-2.24
201411,-2.68
201412,-2.34
201501,-1.78
201502,-2.19
201503,-2.40
201504,-2.67
201505,0.25
201506,0.33
201507,0.42
201508,0.24
201509,0.22
201510,0.84
201511,-0.03
201512,-0.40
201601,-0.25
201602,-1.06
201603,-2.06
201604,-2.24
201605,-2.40
201606,-2.77
201607,-3.04
201608,-2.39
201609,-2.00
201610,-2.49
201611,-2.34
201612,-1.63
