#  Colorado Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-0.29
199402,-0.10
199403,-0.58
199404,-0.09
199405,-0.48
199406,-0.79
199407,-1.65
199408,-1.56
199409,-1.68
199410,0.54
199411,1.08
199412,0.73
199501,0.69
199502,0.55
199503,0.84
199504,1.71
199505,3.84
199506,4.82
199507,5.03
199508,4.51
199509,4.58
199510,3.69
199511,2.90
199512,2.15
199601,2.25
199602,2.15
199603,1.79
199604,1.23
199605,0.87
199606,0.82
199607,0.90
199608,0.74
199609,1.43
199610,1.60
199611,1.73
199612,1.73
199701,2.24
199702,2.36
199703,1.47
199704,2.18
199705,1.92
199706,2.39
199707,2.57
199708,3.82
199709,4.37
199710,4.80
199711,4.80
199712,4.51
199801,4.24
199802,4.26
199803,4.58
199804,4.35
199805,3.12
199806,2.62
199807,3.62
199808,3.32
199809,2.40
199810,3.07
199811,2.85
199812,-0.28
199901,-0.21
199902,-0.57
199903,-1.52
199904,1.93
199905,2.39
199906,2.51
199907,3.13
199908,4.29
199909,4.15
199910,-0.50
199911,-1.48
199912,-1.74
200001,-1.61
200002,-1.69
200003,-1.12
200004,-1.51
200005,-2.22
200006,-2.61
200007,-3.14
200008,-3.22
200009,-3.15
200010,-2.54
200011,-2.42
200012,-2.55
200101,-2.58
200102,-2.55
200103,-2.73
200104,-2.85
200105,-2.28
200106,-2.67
200107,-2.46
200108,-2.38
200109,-2.62
200110,-2.93
200111,-2.89
200112,-3.17
200201,-3.56
200202,-4.22
200203,-4.74
200204,-5.74
200205,-6.79
200206,-7.84
200207,-9.00
200208,-9.09
200209,-7.85
200210,-6.66
200211,-6.12
200212,-6.05
200301,-6.27
200302,-5.83
200303,-5.31
200304,-5.15
200305,-5.01
200306,-4.21
200307,-4.86
200308,-4.88
200309,-4.43
200310,-4.97
200311,-4.28
200312,-4.11
200401,-4.03
200402,-3.71
200403,-4.73
200404,-3.63
200405,-4.47
200406,0.05
200407,0.18
200408,0.16
200409,0.76
200410,0.83
200411,1.28
200412,0.96
200501,1.66
200502,1.80
200503,1.80
200504,1.82
200505,1.25
200506,1.74
200507,-0.64
200508,-0.40
200509,-0.56
200510,0.70
200511,-0.35
200512,-0.45
200601,-0.58
200602,-1.18
200603,-1.30
200604,-2.16
200605,-3.20
200606,-4.17
200607,-0.04
200608,0.30
200609,1.00
200610,2.15
200611,1.67
200612,1.95
200701,1.89
200702,1.83
200703,-0.55
200704,-0.29
200705,-0.23
200706,-0.32
200707,-0.39
200708,0.19
200709,0.38
200710,-0.20
200711,-1.08
200712,1.04
200801,1.42
200802,1.80
200803,0.01
200804,-0.19
200805,-0.36
200806,-0.55
200807,-1.06
200808,0.89
200809,-0.24
200810,-0.28
200811,-0.74
200812,-0.20
200901,-0.31
200902,-0.61
200903,-1.17
200904,0.40
200905,0.17
200906,1.12
200907,1.63
200908,1.11
200909,1.10
200910,1.94
200911,1.27
200912,1.41
201001,1.25
201002,1.38
201003,1.53
201004,1.68
201005,1.23
201006,1.05
201007,1.19
201008,1.37
201009,-0.70
201010,-0.67
201011,-0.73
201012,-0.28
201101,-0.56
201102,-0.52
201103,-1.01
201104,0.18
201105,0.80
201106,0.45
201107,0.85
201108,-0.38
201109,-0.50
201110,-0.19
201111,-0.32
201112,-0.54
201201,-0.95
201202,-0.89
201203,-2.31
201204,-3.04
201205,-4.15
201206,-5.67
201207,-6.00
201208,-6.75
201209,-6.46
201210,-6.28
201211,-6.73
201212,-6.27
201301,-6.23
201302,-6.35
201303,-6.68
201304,-6.09
201305,-6.03
201306,-6.71
201307,-6.40
201308,-5.90
201309,1.74
201310,1.99
201311,1.81
201312,1.42
201401,1.34
201402,1.31
201403,0.83
201404,0.43
201405,0.47
201406,0.18
201407,0.66
201408,1.26
201409,1.64
201410,-0.28
201411,0.09
201412,0.29
201501,-0.29
201502,-0.06
201503,-0.92
201504,-0.97
201505,2.56
201506,2.71
201507,3.10
201508,2.77
201509,1.82
201510,1.80
201511,2.07
201512,2.24
201601,2.13
201602,1.88
201603,1.39
201604,1.92
201605,1.93
201606,-0.08
201607,-0.43
201608,-0.31
201609,-0.73
201610,-1.54
201611,-2.05
201612,0.21
