#  Indiana Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.11
199402,-0.34
199403,-1.20
199404,-0.40
199405,-0.74
199406,-0.72
199407,-0.80
199408,-0.58
199409,-0.78
199410,-1.38
199411,-1.20
199412,-1.32
199501,-1.00
199502,-1.33
199503,-1.73
199504,0.32
199505,1.49
199506,-0.06
199507,-0.49
199508,-0.40
199509,-1.20
199510,-1.24
199511,-1.46
199512,-1.74
199601,-1.32
199602,-1.61
199603,-1.65
199604,1.28
199605,2.46
199606,2.63
199607,3.09
199608,2.12
199609,2.81
199610,2.55
199611,3.11
199612,3.20
199701,3.11
199702,3.26
199703,3.40
199704,2.55
199705,3.11
199706,3.49
199707,2.84
199708,2.98
199709,-0.25
199710,-0.66
199711,-0.86
199712,-1.14
199801,-0.82
199802,-1.05
199803,0.27
199804,1.09
199805,0.88
199806,2.31
199807,2.65
199808,2.60
199809,-0.91
199810,-0.62
199811,-1.00
199812,-1.30
199901,0.95
199902,1.33
199903,-0.53
199904,-0.16
199905,-0.62
199906,-0.60
199907,-1.23
199908,-1.75
199909,-2.48
199910,-2.84
199911,-4.14
199912,-4.25
200001,-4.14
200002,-3.41
200003,-3.83
200004,-3.63
200005,0.00
200006,0.93
200007,1.04
200008,1.57
200009,2.27
200010,2.12
200011,2.34
200012,2.35
200101,-0.51
200102,-0.16
200103,-1.13
200104,-1.71
200105,-1.60
200106,0.12
200107,0.88
200108,1.21
200109,1.61
200110,3.78
200111,3.78
200112,3.79
200201,3.32
200202,3.00
200203,3.13
200204,3.41
200205,4.28
200206,-0.41
200207,-1.07
200208,-1.54
200209,-1.45
200210,-1.44
200211,-1.88
200212,-1.88
200301,-2.06
200302,-1.58
200303,-2.08
200304,-2.29
200305,0.93
200306,0.72
200307,2.59
200308,2.54
200309,3.88
200310,3.82
200311,4.26
200312,3.92
200401,3.93
200402,2.93
200403,2.44
200404,1.29
200405,1.99
200406,2.02
200407,2.56
200408,3.34
200409,2.19
200410,2.62
200411,3.25
200412,2.98
200501,4.45
200502,0.00
200503,-0.50
200504,-0.90
200505,-1.27
200506,-1.63
200507,-1.35
200508,-0.78
200509,-0.45
200510,-1.08
200511,-1.02
200512,-1.17
200601,0.20
200602,-0.24
200603,0.68
200604,0.57
200605,0.98
200606,1.01
200607,1.34
200608,1.90
200609,2.61
200610,3.76
200611,3.88
200612,4.35
200701,4.78
200702,4.42
200703,-0.27
200704,-0.02
200705,-1.14
200706,-1.55
200707,-1.76
200708,-1.49
200709,-1.88
200710,-1.78
200711,-2.08
200712,0.70
200801,0.94
200802,2.05
200803,3.17
200804,2.61
200805,3.06
200806,3.73
200807,3.67
200808,2.85
200809,2.81
200810,2.36
200811,1.73
200812,2.39
200901,1.86
200902,1.96
200903,1.47
200904,2.08
200905,2.40
200906,2.39
200907,2.69
200908,2.84
200909,2.62
200910,4.28
200911,-0.23
200912,0.28
201001,-0.32
201002,-0.59
201003,-0.84
201004,-1.33
201005,0.35
201006,1.64
201007,1.57
201008,-0.78
201009,-1.60
201010,-2.40
201011,-2.06
201012,-2.45
201101,-2.58
201102,0.93
201103,0.75
201104,2.92
201105,3.45
201106,3.52
201107,2.53
201108,1.78
201109,2.54
201110,2.61
201111,3.60
201112,4.01
201201,3.97
201202,-0.34
201203,-1.31
201204,-1.90
201205,-2.53
201206,-3.53
201207,-4.45
201208,-0.04
201209,0.70
201210,1.07
201211,0.20
201212,0.07
201301,0.94
201302,0.87
201303,0.44
201304,1.44
201305,0.98
201306,1.79
201307,-0.11
201308,-0.70
201309,-0.78
201310,0.45
201311,0.52
201312,1.25
201401,1.10
201402,1.21
201403,0.56
201404,1.22
201405,1.05
201406,1.50
201407,1.46
201408,2.18
201409,2.38
201410,3.01
201411,3.21
201412,2.92
201501,2.52
201502,1.92
201503,1.84
201504,1.96
201505,1.52
201506,3.43
201507,4.23
201508,3.69
201509,3.02
201510,2.58
201511,2.36
201512,3.05
201601,2.35
201602,2.36
201603,2.23
201604,2.10
201605,1.70
201606,1.53
201607,1.94
201608,3.15
201609,3.11
201610,2.82
201611,2.50
201612,2.24
