#  Kansas Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,6.01
199402,5.70
199403,4.58
199404,5.23
199405,3.82
199406,2.96
199407,3.26
199408,2.74
199409,1.87
199410,1.73
199411,1.95
199412,1.77
199501,1.74
199502,1.14
199503,1.13
199504,1.39
199505,3.86
199506,4.07
199507,4.09
199508,3.88
199509,-0.01
199510,-0.69
199511,-1.13
199512,-1.21
199601,-1.37
199602,-1.84
199603,-1.94
199604,-2.25
199605,0.13
199606,0.00
199607,0.32
199608,1.37
199609,2.07
199610,1.84
199611,2.61
199612,2.16
199701,1.84
199702,2.63
199703,1.86
199704,2.18
199705,2.09
199706,2.20
199707,2.38
199708,3.19
199709,3.02
199710,3.37
199711,3.08
199712,3.73
199801,3.60
199802,3.51
199803,4.17
199804,3.86
199805,2.63
199806,2.02
199807,2.86
199808,2.24
199809,1.88
199810,2.62
199811,3.75
199812,3.47
199901,3.84
199902,3.32
199903,3.18
199904,4.26
199905,4.29
199906,4.60
199907,4.32
199908,4.15
199909,4.10
199910,-0.55
199911,-1.03
199912,-0.85
200001,-1.01
200002,0.21
200003,1.09
200004,-0.42
200005,-0.91
200006,-0.60
200007,-0.20
200008,-1.36
200009,-2.18
200010,0.69
200011,0.71
200012,0.42
200101,0.73
200102,1.73
200103,1.64
200104,1.04
200105,1.58
200106,1.57
200107,1.80
200108,-0.23
200109,0.33
200110,-0.37
200111,-0.98
200112,-1.45
200201,-1.29
200202,-1.60
200203,-2.10
200204,-2.12
200205,-2.06
200206,-2.64
200207,-3.37
200208,-3.37
200209,-3.79
200210,-2.18
200211,-2.41
200212,-2.46
200301,-2.60
200302,-2.19
200303,-1.89
200304,-1.41
200305,-1.29
200306,-0.86
200307,-1.46
200308,-1.11
200309,-1.05
200310,-1.42
200311,-1.71
200312,-1.56
200401,-1.49
200402,-1.43
200403,-0.96
200404,-0.86
200405,-1.55
200406,0.50
200407,1.57
200408,1.63
200409,1.23
200410,1.26
200411,1.71
200412,1.27
200501,1.92
200502,2.27
200503,2.02
200504,1.65
200505,1.36
200506,2.06
200507,2.27
200508,3.26
200509,-0.42
200510,-0.06
200511,-0.38
200512,-0.56
200601,-0.97
200602,-1.44
200603,-1.50
200604,-1.67
200605,-2.26
200606,-2.69
200607,-3.15
200608,-2.44
200609,-2.50
200610,-2.19
200611,-2.54
200612,0.88
200701,0.84
200702,0.79
200703,1.03
200704,1.38
200705,2.20
200706,2.81
200707,3.01
200708,2.69
200709,2.06
200710,2.14
200711,1.34
200712,2.14
200801,1.78
200802,2.02
200803,1.73
200804,1.96
200805,2.53
200806,2.74
200807,2.92
200808,3.21
200809,3.57
200810,4.68
200811,4.32
200812,4.11
200901,3.67
200902,3.30
200903,3.19
200904,4.15
200905,3.48
200906,3.50
200907,3.81
200908,4.16
200909,4.26
200910,5.06
200911,4.63
200912,4.57
201001,4.34
201002,4.30
201003,4.19
201004,3.73
201005,3.72
201006,3.64
201007,4.07
201008,3.84
201009,3.57
201010,-0.62
201011,-0.50
201012,-0.85
201101,-0.97
201102,-0.75
201103,-1.07
201104,-1.29
201105,-1.39
201106,-1.96
201107,-2.48
201108,-2.60
201109,-2.99
201110,-3.00
201111,-2.29
201112,-1.26
201201,-1.56
201202,-0.89
201203,-1.00
201204,-0.84
201205,-2.04
201206,-2.80
201207,-3.80
201208,-3.90
201209,-3.94
201210,-3.93
201211,-4.20
201212,-4.24
201301,-4.03
201302,-3.41
201303,-3.46
201304,-2.86
201305,-2.63
201306,-2.93
201307,-2.31
201308,-1.29
201309,-1.31
201310,-0.83
201311,-0.81
201312,-0.99
201401,-1.21
201402,-1.16
201403,-1.62
201404,-1.87
201405,-2.73
201406,1.00
201407,0.79
201408,0.69
201409,0.69
201410,0.87
201411,-0.40
201412,-0.15
201501,-0.39
201502,-0.37
201503,-1.12
201504,-1.03
201505,1.87
201506,1.55
201507,2.20
201508,2.26
201509,1.40
201510,1.08
201511,1.70
201512,2.44
201601,2.27
201602,1.88
201603,1.10
201604,2.26
201605,2.66
201606,1.81
201607,2.28
201608,3.00
201609,3.25
201610,2.60
201611,1.70
201612,1.41
