#  Michigan Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,2.54
199402,2.07
199403,1.49
199404,1.48
199405,0.77
199406,1.04
199407,2.18
199408,3.27
199409,-0.27
199410,-0.37
199411,0.52
199412,-0.51
199501,-0.17
199502,-0.57
199503,-0.84
199504,-0.17
199505,-0.27
199506,-1.16
199507,-1.00
199508,-0.83
199509,-1.37
199510,0.39
199511,0.97
199512,0.82
199601,1.03
199602,0.04
199603,-0.43
199604,0.82
199605,0.76
199606,1.60
199607,2.17
199608,1.51
199609,1.54
199610,1.81
199611,1.74
199612,2.33
199701,3.00
199702,3.55
199703,3.30
199704,-0.79
199705,0.83
199706,-0.66
199707,-0.67
199708,-0.14
199709,-0.23
199710,-0.58
199711,-1.24
199712,-1.93
199801,0.73
199802,0.52
199803,1.67
199804,-0.47
199805,-1.45
199806,-1.66
199807,-2.41
199808,-2.65
199809,-3.40
199810,-3.53
199811,-4.27
199812,-4.78
199901,-3.52
199902,-3.19
199903,-3.66
199904,-3.12
199905,-3.04
199906,-2.59
199907,-1.15
199908,-1.26
199909,-1.55
199910,-1.78
199911,-2.98
199912,-3.21
200001,-2.97
200002,-2.73
200003,-3.17
200004,-2.98
200005,0.73
200006,1.09
200007,1.59
200008,1.38
200009,1.63
200010,0.98
200011,0.90
200012,1.28
200101,0.81
200102,1.55
200103,-0.88
200104,0.03
200105,0.75
200106,-0.12
200107,-0.60
200108,-0.80
200109,0.37
200110,1.81
200111,1.67
200112,1.61
200201,1.03
200202,1.38
200203,1.66
200204,2.01
200205,2.55
200206,-0.33
200207,-0.33
200208,-0.33
200209,-1.40
200210,-1.16
200211,-1.81
200212,-2.46
200301,-2.86
200302,-2.88
200303,-2.60
200304,-2.15
200305,-1.31
200306,-1.75
200307,-1.32
200308,-1.72
200309,-1.76
200310,-1.88
200311,0.71
200312,0.73
200401,0.87
200402,0.56
200403,1.16
200404,-0.49
200405,2.09
200406,1.94
200407,2.21
200408,2.21
200409,-1.52
200410,0.27
200411,0.14
200412,0.84
200501,1.59
200502,1.64
200503,-0.54
200504,-1.58
200505,-2.03
200506,-2.53
200507,-2.21
200508,-2.72
200509,-2.86
200510,-3.53
200511,-3.23
200512,-3.17
200601,0.89
200602,1.02
200603,1.04
200604,0.22
200605,0.96
200606,0.26
200607,0.56
200608,0.30
200609,0.22
200610,1.08
200611,1.05
200612,1.61
200701,1.77
200702,-0.39
200703,0.18
200704,0.44
200705,-0.72
200706,-1.33
200707,-2.05
200708,-1.73
200709,-2.27
200710,-2.15
200711,-2.95
200712,-2.82
200801,1.02
200802,1.69
200803,1.18
200804,1.25
200805,0.92
200806,1.54
200807,2.07
200808,1.07
200809,1.81
200810,1.63
200811,1.49
200812,2.87
200901,2.30
200902,2.72
200903,2.67
200904,3.17
200905,2.80
200906,2.69
200907,2.40
200908,3.11
200909,1.90
200910,3.17
200911,-0.61
200912,-0.20
201001,-0.71
201002,-0.98
201003,-2.12
201004,-2.74
201005,-0.05
201006,1.42
201007,2.09
201008,1.30
201009,1.98
201010,-0.21
201011,-0.41
201012,-0.59
201101,-0.73
201102,0.02
201103,0.18
201104,1.96
201105,2.38
201106,2.27
201107,2.00
201108,1.56
201109,1.46
201110,1.53
201111,1.54
201112,1.44
201201,1.64
201202,-0.14
201203,-0.62
201204,-1.13
201205,-1.42
201206,-1.69
201207,-1.55
201208,-1.93
201209,-2.36
201210,-1.36
201211,-2.11
201212,0.11
201301,1.20
201302,1.64
201303,1.05
201304,3.10
201305,2.90
201306,2.79
201307,3.01
201308,2.63
201309,1.48
201310,1.73
201311,2.39
201312,2.40
201401,2.50
201402,2.30
201403,1.65
201404,2.32
201405,2.31
201406,2.25
201407,2.68
201408,2.76
201409,2.86
201410,3.58
201411,4.43
201412,-0.01
201501,-0.31
201502,-0.67
201503,-1.36
201504,-1.39
201505,-0.85
201506,-0.27
201507,-0.32
201508,-0.23
201509,-0.85
201510,-1.05
201511,-1.25
201512,0.87
201601,0.78
201602,0.97
201603,1.74
201604,1.79
201605,-0.36
201606,-0.94
201607,0.34
201608,1.07
201609,0.96
201610,1.08
201611,-0.57
201612,0.22
