#  Missouri Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,5.35
199402,4.95
199403,3.88
199404,5.60
199405,4.38
199406,3.58
199407,3.07
199408,2.79
199409,2.11
199410,1.74
199411,2.48
199412,2.17
199501,2.55
199502,2.07
199503,1.23
199504,1.69
199505,3.44
199506,3.44
199507,3.35
199508,-0.03
199509,-0.35
199510,-0.87
199511,-1.33
199512,-1.54
199601,-1.24
199602,-1.73
199603,-0.01
199604,0.40
199605,1.03
199606,0.77
199607,1.32
199608,1.12
199609,1.78
199610,1.73
199611,2.77
199612,2.19
199701,2.05
199702,2.90
199703,2.39
199704,2.36
199705,2.48
199706,2.15
199707,1.54
199708,1.58
199709,1.18
199710,1.05
199711,0.74
199712,0.67
199801,0.91
199802,1.17
199803,2.20
199804,2.15
199805,1.16
199806,1.86
199807,2.83
199808,2.35
199809,2.31
199810,2.97
199811,3.02
199812,2.60
199901,2.99
199902,2.68
199903,2.26
199904,2.79
199905,2.52
199906,2.38
199907,-0.60
199908,-1.15
199909,-1.51
199910,-2.13
199911,-3.18
199912,-2.98
200001,-3.23
200002,-3.02
200003,-3.17
200004,-3.78
200005,-3.86
200006,0.84
200007,1.11
200008,-0.27
200009,-0.59
200010,-0.86
200011,-0.87
200012,-1.19
200101,0.06
200102,1.23
200103,-0.50
200104,-1.03
200105,0.21
200106,0.70
200107,1.18
200108,1.00
200109,0.91
200110,1.30
200111,1.06
200112,1.28
200201,1.51
200202,1.11
200203,1.21
200204,1.29
200205,3.00
200206,-0.55
200207,-0.77
200208,-0.80
200209,-1.52
200210,-1.28
200211,-1.98
200212,-2.14
200301,-2.61
200302,-2.29
200303,-2.47
200304,0.02
200305,0.14
200306,0.37
200307,-0.30
200308,-0.32
200309,0.53
200310,0.22
200311,0.59
200312,1.05
200401,1.15
200402,0.63
200403,1.10
200404,0.81
200405,0.92
200406,0.61
200407,1.50
200408,2.35
200409,1.55
200410,1.98
200411,2.96
200412,2.47
200501,3.53
200502,3.29
200503,-0.66
200504,-0.83
200505,-1.55
200506,-1.71
200507,-1.88
200508,-1.20
200509,-1.24
200510,-1.73
200511,-1.86
200512,-2.47
200601,-2.54
200602,-3.02
200603,-2.58
200604,-2.61
200605,-2.72
200606,-2.88
200607,-2.67
200608,-2.25
200609,-2.26
200610,0.20
200611,0.30
200612,0.57
200701,1.01
200702,1.18
200703,-0.61
200704,-0.43
200705,-0.42
200706,-0.19
200707,-0.45
200708,-0.77
200709,-1.13
200710,-1.00
200711,-1.68
200712,0.36
200801,0.27
200802,1.49
200803,2.82
200804,3.74
200805,3.71
200806,4.10
200807,4.85
200808,4.33
200809,5.47
200810,5.01
200811,4.43
200812,4.49
200901,3.72
200902,3.28
200903,3.14
200904,3.44
200905,3.53
200906,3.51
200907,3.77
200908,4.19
200909,4.08
200910,6.47
200911,5.80
200912,5.65
201001,5.26
201002,4.70
201003,4.21
201004,3.57
201005,3.92
201006,3.43
201007,4.28
201008,3.59
201009,4.52
201010,3.44
201011,3.28
201012,2.57
201101,2.05
201102,2.64
201103,2.41
201104,3.53
201105,3.83
201106,-0.24
201107,-0.81
201108,-0.89
201109,-1.21
201110,-1.98
201111,-1.35
201112,-0.76
201201,-0.87
201202,-0.70
201203,-0.89
201204,-1.00
201205,-2.03
201206,-2.82
201207,-3.90
201208,-4.31
201209,-3.76
201210,-3.44
201211,-3.82
201212,-4.11
201301,0.27
201302,0.87
201303,1.06
201304,2.01
201305,2.60
201306,2.33
201307,2.11
201308,2.18
201309,-0.46
201310,-0.28
201311,-0.36
201312,-0.19
201401,-0.40
201402,-0.61
201403,-1.04
201404,0.50
201405,-0.56
201406,0.47
201407,0.37
201408,0.69
201409,0.76
201410,1.80
201411,1.71
201412,1.61
201501,1.27
201502,1.10
201503,0.96
201504,0.64
201505,1.46
201506,2.17
201507,3.67
201508,3.80
201509,3.06
201510,2.23
201511,3.55
201512,5.30
201601,4.46
201602,3.51
201603,2.78
201604,2.36
201605,2.58
201606,1.50
201607,2.28
201608,3.18
201609,3.11
201610,-0.34
201611,-0.89
201612,-1.26
