#  Montana Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,4.61
199402,4.76
199403,-0.26
199404,0.25
199405,-0.42
199406,-0.67
199407,-0.92
199408,-1.78
199409,-2.49
199410,1.03
199411,1.04
199412,0.73
199501,0.37
199502,0.05
199503,0.25
199504,0.80
199505,1.22
199506,1.79
199507,2.81
199508,3.16
199509,2.87
199510,3.28
199511,3.86
199512,3.94
199601,4.54
199602,4.95
199603,5.13
199604,4.71
199605,5.43
199606,4.26
199607,3.33
199608,2.09
199609,2.11
199610,1.86
199611,2.15
199612,3.06
199701,3.30
199702,3.30
199703,3.74
199704,4.02
199705,3.69
199706,3.39
199707,4.22
199708,4.36
199709,-0.34
199710,-0.03
199711,-0.29
199712,-0.80
199801,-0.84
199802,-1.25
199803,-1.22
199804,-1.48
199805,-1.66
199806,0.88
199807,1.23
199808,-0.04
199809,-0.65
199810,0.22
199811,0.65
199812,0.94
199901,1.10
199902,1.49
199903,1.22
199904,1.44
199905,1.49
199906,1.37
199907,1.30
199908,1.52
199909,-0.14
199910,-0.39
199911,-0.87
199912,-1.16
200001,-1.43
200002,-1.46
200003,-2.12
200004,-2.47
200005,-2.60
200006,-2.91
200007,-3.07
200008,-3.91
200009,-3.60
200010,-3.21
200011,-3.21
200012,-3.47
200101,-4.16
200102,-4.62
200103,-5.61
200104,-5.48
200105,-6.36
200106,-5.56
200107,-5.04
200108,-5.85
200109,-6.01
200110,-5.38
200111,-5.71
200112,-5.96
200201,-6.09
200202,-6.28
200203,-6.42
200204,-6.09
200205,-5.58
200206,-4.90
200207,-4.76
200208,-4.03
200209,-3.78
200210,-3.41
200211,-3.67
200212,-3.92
200301,-3.92
200302,-3.83
200303,-3.20
200304,-2.74
200305,-2.38
200306,-2.41
200307,-2.86
200308,-3.63
200309,-3.70
200310,-3.58
200311,-3.45
200312,-3.30
200401,-3.31
200402,-3.58
200403,-4.71
200404,-5.23
200405,-4.40
200406,-4.46
200407,-4.52
200408,-3.84
200409,-3.45
200410,-2.90
200411,-3.24
200412,-3.42
200501,-3.85
200502,-4.63
200503,-5.21
200504,-4.99
200505,0.17
200506,1.24
200507,0.70
200508,0.51
200509,0.28
200510,0.68
200511,0.91
200512,0.85
200601,0.90
200602,0.83
200603,1.00
200604,1.53
200605,-0.46
200606,-0.86
200607,-1.79
200608,-2.51
200609,0.15
200610,0.82
200611,1.13
200612,-0.26
200701,-0.71
200702,-0.54
200703,-1.19
200704,0.06
200705,1.05
200706,-0.43
200707,-0.95
200708,-1.75
200709,-1.75
200710,-1.41
200711,-1.62
200712,-1.78
200801,-1.99
200802,-2.14
200803,-2.56
200804,-2.63
200805,1.09
200806,1.22
200807,1.20
200808,0.94
200809,0.99
200810,0.94
200811,0.68
200812,0.93
200901,0.87
200902,0.59
200903,0.97
200904,1.36
200905,-0.59
200906,-0.82
200907,0.33
200908,0.72
200909,-0.88
200910,1.17
200911,-0.54
200912,-0.62
201001,-0.75
201002,-1.16
201003,-2.01
201004,0.10
201005,1.39
201006,1.92
201007,2.23
201008,3.04
201009,3.23
201010,2.50
201011,2.95
201012,3.22
201101,3.69
201102,4.19
201103,4.62
201104,5.20
201105,7.14
201106,6.97
201107,6.63
201108,-0.22
201109,-1.07
201110,-0.54
201111,-0.59
201112,-0.94
201201,-1.10
201202,-1.28
201203,-1.78
201204,-1.74
201205,-1.48
201206,-1.93
201207,-2.25
201208,-3.03
201209,-3.98
201210,-3.03
201211,-2.62
201212,-2.40
201301,-2.44
201302,-2.73
201303,-3.00
201304,0.14
201305,1.21
201306,1.35
201307,1.40
201308,1.28
201309,1.73
201310,1.69
201311,1.31
201312,1.25
201401,1.01
201402,1.39
201403,2.36
201404,2.18
201405,1.70
201406,1.91
201407,1.44
201408,2.86
201409,-0.16
201410,-0.61
201411,0.60
201412,0.67
201501,0.65
201502,0.61
201503,-0.64
201504,-1.07
201505,-0.90
201506,-1.74
201507,-1.72
201508,-2.07
201509,-2.21
201510,-2.19
201511,-1.99
201512,-1.71
201601,-1.98
201602,-2.31
201603,-2.86
201604,-2.55
201605,-1.89
201606,-2.66
201607,-2.29
201608,-2.41
201609,0.66
201610,2.20
201611,1.30
201612,1.41
