#  Nebraska Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,7.26
199402,7.01
199403,5.81
199404,5.47
199405,3.97
199406,3.58
199407,4.63
199408,4.26
199409,3.69
199410,3.94
199411,3.86
199412,3.81
199501,3.47
199502,2.98
199503,3.11
199504,3.83
199505,5.77
199506,5.19
199507,4.81
199508,4.09
199509,4.06
199510,4.13
199511,3.54
199512,2.85
199601,2.82
199602,2.06
199603,1.48
199604,0.88
199605,2.14
199606,1.64
199607,1.96
199608,2.79
199609,3.68
199610,3.23
199611,3.86
199612,3.40
199701,3.02
199702,3.03
199703,2.11
199704,2.40
199705,2.26
199706,1.96
199707,2.07
199708,2.25
199709,2.36
199710,3.32
199711,3.01
199712,2.76
199801,2.45
199802,2.21
199803,2.75
199804,2.78
199805,2.33
199806,2.99
199807,3.89
199808,4.12
199809,3.07
199810,3.88
199811,4.40
199812,3.86
199901,3.50
199902,3.07
199903,2.52
199904,3.65
199905,3.74
199906,4.46
199907,4.25
199908,4.50
199909,0.03
199910,-0.67
199911,-1.24
199912,-1.40
200001,-1.48
200002,-1.21
200003,-1.36
200004,-1.55
200005,-2.02
200006,-2.41
200007,-2.23
200008,-3.23
200009,-3.47
200010,0.53
200011,0.93
200012,0.64
200101,0.92
200102,1.12
200103,0.62
200104,1.31
200105,1.68
200106,-0.63
200107,0.58
200108,0.35
200109,0.69
200110,0.51
200111,0.68
200112,-0.41
200201,-0.64
200202,-0.93
200203,-1.17
200204,-1.70
200205,-2.09
200206,-3.53
200207,-4.87
200208,-4.31
200209,-4.53
200210,-2.99
200211,-3.20
200212,-3.40
200301,-3.32
200302,-3.12
200303,-3.29
200304,-2.76
200305,-2.64
200306,-2.02
200307,-2.69
200308,-3.52
200309,-3.14
200310,-3.42
200311,-3.05
200312,-3.06
200401,-2.89
200402,-2.66
200403,-2.62
200404,-2.94
200405,-3.08
200406,-3.16
200407,-2.39
200408,-2.78
200409,0.56
200410,0.35
200411,0.61
200412,-0.47
200501,-0.48
200502,-0.49
200503,-0.67
200504,0.35
200505,0.29
200506,1.03
200507,-0.35
200508,-0.01
200509,-0.79
200510,-0.63
200511,-0.68
200512,-0.87
200601,-1.27
200602,-1.60
200603,-1.28
200604,-1.62
200605,-2.97
200606,-3.43
200607,-4.28
200608,0.32
200609,1.12
200610,1.06
200611,0.43
200612,1.46
200701,1.33
200702,1.43
200703,1.28
200704,2.17
200705,2.82
200706,2.28
200707,2.13
200708,2.92
200709,2.49
200710,3.34
200711,2.47
200712,2.97
200801,2.49
200802,2.14
200803,1.60
200804,2.09
200805,3.41
200806,3.56
200807,3.85
200808,3.70
200809,3.86
200810,5.67
200811,5.30
200812,5.05
200901,4.80
200902,4.77
200903,4.30
200904,4.69
200905,3.86
200906,4.64
200907,4.94
200908,5.77
200909,5.24
200910,6.80
200911,5.92
200912,6.19
201001,5.85
201002,5.81
201003,5.79
201004,5.83
201005,5.47
201006,6.92
201007,7.39
201008,7.37
201009,6.81
201010,5.90
201011,5.27
201012,4.65
201101,4.63
201102,4.31
201103,3.69
201104,3.82
201105,4.79
201106,4.68
201107,5.10
201108,5.52
201109,-0.41
201110,0.44
201111,-0.22
201112,-0.13
201201,-0.37
201202,0.64
201203,-1.29
201204,-1.10
201205,-2.01
201206,-3.28
201207,-4.77
201208,-5.70
201209,-6.33
201210,-5.95
201211,-6.06
201212,-5.57
201301,-5.41
201302,-4.98
201303,-5.06
201304,-4.24
201305,-3.28
201306,-3.60
201307,-3.71
201308,-3.29
201309,-3.13
201310,-1.76
201311,-1.54
201312,-1.63
201401,-1.72
201402,-1.55
201403,-1.95
201404,-1.99
201405,-2.30
201406,1.66
201407,1.28
201408,2.60
201409,2.76
201410,2.53
201411,2.12
201412,2.44
201501,2.04
201502,1.98
201503,0.81
201504,0.76
201505,2.05
201506,2.51
201507,3.09
201508,3.50
201509,3.44
201510,3.18
201511,3.64
201512,4.34
201601,4.07
201602,3.99
201603,3.42
201604,5.00
201605,5.36
201606,4.03
201607,4.15
201608,3.91
201609,3.55
201610,2.94
201611,2.31
201612,2.23
