#  Nevada Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-1.51
199402,-1.33
199403,-1.97
199404,-1.82
199405,-1.90
199406,-2.97
199407,-3.79
199408,-3.96
199409,-3.73
199410,-3.41
199411,0.93
199412,1.09
199501,2.42
199502,1.65
199503,2.75
199504,3.11
199505,4.95
199506,6.48
199507,8.10
199508,7.67
199509,-0.29
199510,-0.98
199511,-1.87
199512,-1.35
199601,-0.68
199602,-0.32
199603,-0.22
199604,-0.52
199605,-0.11
199606,-0.31
199607,-0.49
199608,-1.21
199609,-1.45
199610,0.14
199611,0.40
199612,1.43
199701,2.51
199702,-0.04
199703,-0.81
199704,-0.78
199705,-1.22
199706,0.79
199707,0.97
199708,0.62
199709,1.43
199710,-0.25
199711,-0.41
199712,-0.83
199801,-0.81
199802,1.57
199803,2.08
199804,2.38
199805,4.08
199806,5.79
199807,8.04
199808,7.56
199809,8.47
199810,8.11
199811,-0.09
199812,-0.59
199901,-0.51
199902,-0.81
199903,-1.47
199904,-0.57
199905,-0.58
199906,-0.57
199907,-0.75
199908,-0.78
199909,-1.09
199910,-1.74
199911,-2.55
199912,-3.10
200001,-2.83
200002,-1.90
200003,-1.89
200004,-2.25
200005,-2.42
200006,-3.04
200007,-3.74
200008,-3.11
200009,-3.12
200010,-1.91
200011,-1.94
200012,-2.47
200101,-2.31
200102,-2.05
200103,-2.27
200104,-1.78
200105,-2.79
200106,-3.70
200107,-3.69
200108,-4.03
200109,-4.15
200110,-4.39
200111,-3.85
200112,-3.13
200201,-3.08
200202,-3.17
200203,-3.25
200204,-3.21
200205,-3.75
200206,-4.34
200207,-4.83
200208,-5.22
200209,-4.89
200210,-4.72
200211,-4.33
200212,-4.15
200301,-4.80
200302,-4.52
200303,-4.67
200304,-3.47
200305,-3.35
200306,-4.23
200307,-4.65
200308,-3.83
200309,-3.88
200310,-4.41
200311,-3.76
200312,-2.78
200401,-2.81
200402,-1.83
200403,-2.73
200404,-2.73
200405,-2.96
200406,-3.24
200407,-3.32
200408,0.11
200409,-0.15
200410,1.61
200411,1.97
200412,2.15
200501,3.25
200502,3.68
200503,3.72
200504,3.93
200505,5.05
200506,5.71
200507,6.35
200508,5.77
200509,5.02
200510,4.56
200511,3.71
200512,3.93
200601,3.85
200602,3.34
200603,3.84
200604,4.19
200605,-0.04
200606,-0.09
200607,-0.15
200608,-0.90
200609,-1.26
200610,-1.00
200611,-1.28
200612,-1.53
200701,-2.16
200702,-2.32
200703,-3.17
200704,-3.43
200705,-4.64
200706,-5.51
200707,-6.08
200708,-5.85
200709,-4.93
200710,-4.55
200711,-4.84
200712,-4.09
200801,-3.32
200802,-2.87
200803,-3.14
200804,-3.35
200805,-3.15
200806,-3.43
200807,-3.68
200808,-4.07
200809,-4.26
200810,-4.28
200811,-4.03
200812,-3.57
200901,-3.52
200902,-3.18
200903,-3.27
200904,-2.81
200905,-3.26
200906,-2.38
200907,-2.57
200908,-2.75
200909,-3.14
200910,-2.69
200911,-3.20
200912,0.10
201001,0.35
201002,0.27
201003,0.11
201004,0.59
201005,1.09
201006,-0.26
201007,-0.51
201008,-0.98
201009,-1.32
201010,1.33
201011,1.52
201012,2.89
201101,2.26
201102,2.21
201103,2.50
201104,2.75
201105,3.53
201106,4.00
201107,4.50
201108,-0.21
201109,-0.35
201110,-0.23
201111,-0.63
201112,-1.43
201201,-1.75
201202,-2.26
201203,-2.52
201204,-2.86
201205,-4.12
201206,-5.23
201207,-5.28
201208,-4.66
201209,-4.41
201210,-4.18
201211,-4.44
201212,-3.35
201301,-3.29
201302,-3.44
201303,-4.08
201304,-4.41
201305,-4.77
201306,-5.55
201307,-5.59
201308,-5.36
201309,-3.89
201310,-3.55
201311,-3.53
201312,-3.58
201401,-4.12
201402,-4.10
201403,-4.20
201404,-4.29
201405,-4.89
201406,-5.86
201407,-5.98
201408,-4.55
201409,-3.49
201410,-3.99
201411,-3.95
201412,-3.51
201501,-4.03
201502,-4.72
201503,-5.75
201504,-5.97
201505,-5.23
201506,-6.12
201507,-5.63
201508,-5.53
201509,-5.41
201510,0.78
201511,1.16
201512,1.40
201601,2.00
201602,-0.41
201603,-0.65
201604,-0.25
201605,-0.08
201606,-0.34
201607,-0.95
201608,-1.40
201609,-1.26
201610,-0.67
201611,-1.28
201612,0.78
