#  New Jersey Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.42
199402,1.56
199403,2.63
199404,-0.51
199405,-0.50
199406,-0.69
199407,0.16
199408,0.66
199409,-0.13
199410,-0.85
199411,-1.00
199412,-1.31
199501,-1.29
199502,-1.41
199503,-2.14
199504,-2.62
199505,-2.39
199506,-2.78
199507,-2.70
199508,-3.51
199509,-0.04
199510,1.00
199511,1.53
199512,1.04
199601,1.82
199602,1.34
199603,1.45
199604,1.72
199605,1.52
199606,1.87
199607,2.76
199608,2.39
199609,2.79
199610,3.91
199611,3.35
199612,4.48
199701,3.96
199702,3.17
199703,3.07
199704,2.84
199705,2.42
199706,1.62
199707,1.65
199708,1.82
199709,1.24
199710,0.72
199711,0.73
199712,0.81
199801,1.05
199802,1.46
199803,1.64
199804,1.68
199805,2.01
199806,2.37
199807,-0.68
199808,-1.40
199809,-2.05
199810,-2.42
199811,-3.24
199812,-4.14
199901,-2.77
199902,-2.58
199903,-1.94
199904,-2.18
199905,-2.29
199906,-2.91
199907,-4.04
199908,-3.79
199909,1.52
199910,1.68
199911,-0.45
199912,-0.61
200001,-0.64
200002,-0.99
200003,-0.84
200004,-0.92
200005,-0.96
200006,0.22
200007,0.84
200008,1.27
200009,1.78
200010,-0.73
200011,-0.81
200012,-0.62
200101,-0.67
200102,-0.81
200103,0.81
200104,-0.80
200105,-1.04
200106,0.52
200107,-0.22
200108,-0.61
200109,-0.86
200110,-1.85
200111,-2.94
200112,-3.62
200201,-4.17
200202,-4.99
200203,-4.48
200204,-4.19
200205,-3.63
200206,-2.80
200207,-3.38
200208,-3.59
200209,-3.40
200210,1.09
200211,1.55
200212,1.80
200301,1.32
200302,1.97
200303,1.78
200304,1.31
200305,1.23
200306,3.07
200307,2.67
200308,2.48
200309,2.98
200310,3.62
200311,3.42
200312,3.87
200401,2.96
200402,2.45
200403,1.86
200404,2.15
200405,1.60
200406,1.19
200407,2.07
200408,2.15
200409,2.72
200410,2.33
200411,2.43
200412,2.19
200501,2.34
200502,-0.27
200503,0.12
200504,0.24
200505,-0.32
200506,-0.49
200507,-0.47
200508,-1.39
200509,-2.40
200510,2.88
200511,2.66
200512,2.49
200601,2.79
200602,-0.57
200603,-1.74
200604,-1.78
200605,-1.96
200606,1.61
200607,1.71
200608,1.37
200609,1.93
200610,3.14
200611,3.47
200612,2.53
200701,2.28
200702,1.61
200703,1.48
200704,3.10
200705,-0.89
200706,-0.82
200707,-0.82
200708,-0.89
200709,-1.85
200710,-1.42
200711,-1.79
200712,0.62
200801,0.04
200802,1.02
200803,0.00
200804,-0.56
200805,-0.22
200806,-0.61
200807,-0.85
200808,-1.54
200809,0.53
200810,0.36
200811,0.36
200812,1.34
200901,-0.15
200902,-1.23
200903,-1.85
200904,0.11
200905,0.19
200906,1.48
200907,1.71
200908,2.52
200909,2.51
200910,3.44
200911,2.55
200912,3.78
201001,3.13
201002,3.57
201003,4.74
201004,-0.73
201005,-1.02
201006,-1.72
201007,-2.08
201008,-2.84
201009,-3.07
201010,-2.36
201011,-2.73
201012,-2.53
201101,0.00
201102,0.02
201103,0.58
201104,1.03
201105,0.71
201106,0.40
201107,0.04
201108,3.36
201109,4.11
201110,4.22
201111,3.79
201112,3.56
201201,-0.27
201202,-1.14
201203,-2.25
201204,-2.48
201205,-2.35
201206,-1.90
201207,-2.08
201208,-2.03
201209,0.09
201210,0.74
201211,0.04
201212,0.66
201301,-0.15
201302,-0.17
201303,-0.50
201304,-0.96
201305,-0.95
201306,2.20
201307,2.22
201308,2.21
201309,-0.40
201310,-0.95
201311,-1.20
201312,0.42
201401,0.29
201402,1.18
201403,1.21
201404,1.29
201405,1.32
201406,-0.21
201407,0.27
201408,-0.04
201409,-0.48
201410,-0.50
201411,0.20
201412,0.53
201501,0.88
201502,0.45
201503,0.76
201504,-0.49
201505,-1.59
201506,1.54
201507,-0.17
201508,-0.91
201509,-1.17
201510,-1.00
201511,-1.60
201512,-1.39
201601,-1.30
201602,-0.74
201603,-1.69
201604,-2.12
201605,-1.65
201606,-2.05
201607,-1.23
201608,-2.00
201609,-2.17
201610,-2.46
201611,-2.93
201612,-2.95
