#  New York Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.30
199402,0.83
199403,1.36
199404,1.25
199405,1.12
199406,1.60
199407,1.24
199408,2.36
199409,2.20
199410,-0.73
199411,-0.46
199412,-0.69
199501,-0.44
199502,-0.59
199503,-1.48
199504,-1.72
199505,-2.18
199506,-3.06
199507,-2.92
199508,-3.76
199509,-3.74
199510,1.34
199511,1.93
199512,1.32
199601,2.16
199602,1.62
199603,0.94
199604,2.10
199605,2.58
199606,2.81
199607,3.66
199608,2.81
199609,3.31
199610,3.61
199611,4.19
199612,4.66
199701,4.14
199702,3.70
199703,3.85
199704,3.17
199705,2.92
199706,2.21
199707,1.80
199708,1.88
199709,1.80
199710,1.18
199711,1.66
199712,1.44
199801,2.65
199802,2.39
199803,2.38
199804,1.79
199805,1.23
199806,2.65
199807,2.60
199808,-0.14
199809,-0.63
199810,-0.91
199811,-1.82
199812,-2.44
199901,-0.64
199902,-1.32
199903,-0.64
199904,-1.57
199905,-2.06
199906,-2.79
199907,-3.12
199908,-3.53
199909,1.23
199910,1.20
199911,0.82
199912,0.11
200001,0.39
200002,0.55
200003,0.20
200004,1.30
200005,2.05
200006,2.69
200007,3.01
200008,3.22
200009,3.16
200010,-0.18
200011,-0.35
200012,-0.15
200101,-0.77
200102,-0.90
200103,1.11
200104,-1.40
200105,-1.71
200106,-1.30
200107,-1.69
200108,-2.20
200109,-1.93
200110,-2.36
200111,-3.31
200112,-3.44
200201,-3.41
200202,-3.21
200203,0.14
200204,0.35
200205,1.28
200206,2.01
200207,-0.94
200208,-1.77
200209,0.03
200210,0.41
200211,0.74
200212,0.86
200301,0.63
200302,0.54
200303,0.40
200304,0.06
200305,0.64
200306,0.85
200307,1.27
200308,1.67
200309,2.45
200310,3.46
200311,3.53
200312,3.82
200401,3.14
200402,2.16
200403,1.45
200404,1.50
200405,2.00
200406,1.50
200407,2.68
200408,3.84
200409,4.36
200410,3.72
200411,3.30
200412,3.50
200501,3.76
200502,3.12
200503,2.62
200504,2.98
200505,1.93
200506,1.36
200507,1.13
200508,0.95
200509,0.61
200510,2.50
200511,3.00
200512,2.49
200601,2.95
200602,2.32
200603,1.38
200604,1.06
200605,0.92
200606,2.55
200607,3.00
200608,3.18
200609,3.48
200610,4.74
200611,4.16
200612,3.71
200701,3.99
200702,3.50
200703,3.54
200704,4.25
200705,2.92
200706,2.06
200707,2.32
200708,1.22
200709,0.59
200710,0.68
200711,0.95
200712,1.72
200801,1.16
200802,2.71
200803,3.67
200804,2.58
200805,1.85
200806,1.85
200807,2.62
200808,2.84
200809,2.53
200810,3.21
200811,2.70
200812,3.54
200901,3.04
200902,2.19
200903,1.82
200904,0.93
200905,1.26
200906,1.92
200907,2.92
200908,3.52
200909,2.89
200910,3.40
200911,-0.77
200912,-0.44
201001,-0.60
201002,-0.43
201003,-0.35
201004,-1.52
201005,-2.07
201006,0.85
201007,0.81
201008,1.16
201009,0.85
201010,2.39
201011,1.95
201012,1.82
201101,1.22
201102,1.69
201103,2.39
201104,4.07
201105,4.61
201106,4.35
201107,3.17
201108,5.09
201109,6.32
201110,6.46
201111,-0.36
201112,0.14
201201,0.41
201202,-0.79
201203,-1.93
201204,-2.06
201205,-1.98
201206,-1.99
201207,-2.23
201208,-2.57
201209,0.39
201210,0.93
201211,-0.96
201212,1.12
201301,-0.36
201302,-0.43
201303,-1.05
201304,-1.11
201305,0.15
201306,2.04
201307,2.21
201308,2.26
201309,2.10
201310,1.89
201311,2.24
201312,2.24
201401,1.91
201402,1.94
201403,1.79
201404,1.71
201405,1.86
201406,2.33
201407,3.07
201408,3.01
201409,-0.60
201410,-0.33
201411,-0.45
201412,-0.24
201501,-0.45
201502,-0.74
201503,-1.44
201504,-1.50
201505,-2.15
201506,2.03
201507,0.01
201508,-0.36
201509,0.19
201510,0.43
201511,-0.82
201512,-0.56
201601,-1.07
201602,1.11
201603,-0.79
201604,-1.06
201605,-1.54
201606,-1.82
201607,-2.00
201608,-1.76
201609,-2.50
201610,0.52
201611,-0.47
201612,0.16
