#  North Carolina Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.58
199402,0.38
199403,1.33
199404,0.45
199405,0.01
199406,0.26
199407,0.35
199408,0.60
199409,0.57
199410,0.88
199411,0.69
199412,0.09
199501,0.69
199502,1.12
199503,-0.50
199504,-1.55
199505,-1.65
199506,2.30
199507,1.68
199508,1.39
199509,1.00
199510,2.08
199511,2.48
199512,1.69
199601,2.14
199602,1.53
199603,1.64
199604,1.40
199605,1.10
199606,0.90
199607,1.21
199608,1.52
199609,3.27
199610,3.37
199611,3.40
199612,3.19
199701,2.79
199702,2.39
199703,1.92
199704,2.49
199705,-0.49
199706,-0.41
199707,-0.37
199708,-1.36
199709,0.08
199710,-0.16
199711,0.22
199712,0.40
199801,1.81
199802,2.61
199803,2.68
199804,3.27
199805,3.06
199806,-0.38
199807,-1.07
199808,-1.26
199809,-1.78
199810,-2.45
199811,-3.05
199812,-2.87
199901,-1.92
199902,-2.28
199903,-2.42
199904,-2.23
199905,-2.40
199906,-2.29
199907,-2.67
199908,-3.03
199909,2.90
199910,3.35
199911,-0.37
199912,-0.97
200001,-0.39
200002,-1.15
200003,-1.59
200004,-0.74
200005,-1.34
200006,-1.30
200007,-1.32
200008,-1.23
200009,0.72
200010,-0.94
200011,-0.89
200012,-1.27
200101,-1.83
200102,-2.16
200103,-1.47
200104,-2.19
200105,-2.39
200106,-1.57
200107,-1.28
200108,-1.43
200109,-1.57
200110,-2.13
200111,-3.07
200112,-3.87
200201,-3.07
200202,-3.65
200203,-3.21
200204,-3.82
200205,-4.03
200206,-4.38
200207,-4.75
200208,-4.73
200209,-4.46
200210,0.42
200211,0.93
200212,1.31
200301,0.61
200302,1.11
200303,1.52
200304,2.63
200305,3.80
200306,4.05
200307,4.55
200308,4.60
200309,4.84
200310,4.73
200311,-0.25
200312,0.31
200401,-0.84
200402,-0.68
200403,-1.67
200404,-1.74
200405,-1.85
200406,0.39
200407,0.25
200408,1.20
200409,2.54
200410,-0.36
200411,-0.05
200412,-0.32
200501,-0.84
200502,-1.21
200503,-0.03
200504,-0.07
200505,0.03
200506,0.42
200507,0.62
200508,-0.34
200509,-1.15
200510,0.58
200511,0.73
200512,1.08
200601,-0.36
200602,-1.10
200603,-2.16
200604,-2.05
200605,-2.00
200606,1.46
200607,1.01
200608,0.69
200609,1.49
200610,1.86
200611,3.10
200612,-0.18
200701,-0.33
200702,-0.83
200703,-1.49
200704,-1.40
200705,-2.12
200706,-2.27
200707,-2.87
200708,-4.28
200709,-5.04
200710,-4.84
200711,-5.58
200712,-5.45
200801,-5.66
200802,-5.12
200803,-4.83
200804,-3.74
200805,-3.67
200806,-4.34
200807,-4.35
200808,-3.91
200809,-3.26
200810,-3.34
200811,-2.91
200812,-2.52
200901,-2.61
200902,-3.18
200903,0.44
200904,-0.46
200905,0.70
200906,0.64
200907,-0.36
200908,-0.52
200909,-0.44
200910,-0.52
200911,1.31
200912,2.64
201001,2.91
201002,2.71
201003,-0.10
201004,-1.10
201005,-1.12
201006,-1.62
201007,-2.40
201008,-2.87
201009,-1.79
201010,-1.79
201011,-2.21
201012,-2.10
201101,-2.54
201102,-2.86
201103,-2.24
201104,-2.14
201105,-2.33
201106,-2.79
201107,-3.46
201108,-2.94
201109,-2.40
201110,-2.24
201111,-1.64
201112,-1.99
201201,-2.25
201202,-2.74
201203,-2.96
201204,-2.84
201205,0.72
201206,-0.46
201207,-0.58
201208,-0.33
201209,-0.18
201210,-0.08
201211,-0.73
201212,0.21
201301,0.45
201302,0.53
201303,0.02
201304,0.48
201305,0.51
201306,2.42
201307,3.31
201308,3.10
201309,2.51
201310,1.90
201311,1.86
201312,2.44
201401,2.07
201402,1.57
201403,1.68
201404,2.04
201405,-0.27
201406,-0.37
201407,-0.43
201408,0.06
201409,0.44
201410,0.32
201411,0.73
201412,0.70
201501,0.71
201502,0.65
201503,-0.41
201504,-0.11
201505,-0.78
201506,-0.65
201507,-1.22
201508,-1.72
201509,0.09
201510,1.30
201511,2.66
201512,3.52
201601,2.79
201602,3.26
201603,-1.18
201604,-1.40
201605,-0.57
201606,-0.55
201607,-0.88
201608,-1.31
201609,0.80
201610,1.55
201611,-0.76
201612,-0.83
