#  Oklahoma Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,2.74
199402,2.68
199403,2.52
199404,2.84
199405,2.40
199406,1.41
199407,1.63
199408,1.62
199409,1.19
199410,1.20
199411,2.32
199412,2.25
199501,2.52
199502,1.79
199503,1.85
199504,2.23
199505,2.87
199506,3.60
199507,3.83
199508,3.83
199509,4.08
199510,-0.46
199511,-1.12
199512,-1.08
199601,-1.32
199602,-2.09
199603,-2.15
199604,-2.32
199605,-3.20
199606,-3.26
199607,0.67
199608,1.89
199609,2.71
199610,2.58
199611,3.80
199612,3.27
199701,2.80
199702,3.73
199703,2.80
199704,3.63
199705,3.07
199706,3.07
199707,3.05
199708,3.68
199709,3.20
199710,3.26
199711,2.90
199712,3.73
199801,4.54
199802,4.06
199803,4.94
199804,-0.08
199805,-0.93
199806,-1.79
199807,-2.49
199808,-3.07
199809,-3.24
199810,1.10
199811,1.50
199812,1.75
199901,2.13
199902,1.51
199903,2.08
199904,2.87
199905,2.85
199906,3.49
199907,-0.03
199908,-0.64
199909,-0.38
199910,-0.73
199911,-1.58
199912,-1.18
200001,-1.41
200002,-1.74
200003,0.46
200004,0.28
200005,0.02
200006,1.26
200007,1.49
200008,-0.95
200009,-1.80
200010,1.01
200011,1.79
200012,2.19
200101,2.63
200102,3.61
200103,-0.23
200104,-1.03
200105,-0.31
200106,-0.72
200107,-1.53
200108,-1.98
200109,-1.65
200110,-1.75
200111,-2.08
200112,-2.06
200201,-1.81
200202,-2.08
200203,0.08
200204,0.37
200205,0.07
200206,0.04
200207,0.43
200208,0.66
200209,0.21
200210,1.06
200211,0.58
200212,1.18
200301,-0.34
200302,-0.03
200303,-0.17
200304,-0.65
200305,-0.98
200306,-0.29
200307,-0.58
200308,-0.21
200309,-0.21
200310,-0.71
200311,-0.93
200312,-1.31
200401,0.04
200402,-0.14
200403,0.31
200404,0.48
200405,-1.09
200406,0.75
200407,1.54
200408,2.00
200409,1.17
200410,1.73
200411,3.13
200412,2.76
200501,3.66
200502,3.35
200503,-0.49
200504,-1.07
200505,-1.66
200506,-1.50
200507,-1.32
200508,-0.26
200509,-0.80
200510,-1.07
200511,-1.86
200512,-2.54
200601,-3.18
200602,-4.06
200603,-3.98
200604,-4.10
200605,-4.71
200606,-5.21
200607,-5.80
200608,-5.48
200609,-5.17
200610,-4.71
200611,-0.04
200612,0.66
200701,1.09
200702,0.85
200703,1.14
200704,1.11
200705,1.67
200706,3.49
200707,4.18
200708,4.59
200709,4.06
200710,3.65
200711,2.58
200712,2.60
200801,1.89
200802,1.91
200803,2.59
200804,2.96
200805,2.67
200806,2.95
200807,2.96
200808,3.63
200809,3.50
200810,3.23
200811,-0.40
200812,-0.73
200901,-1.11
200902,-1.57
200903,-1.61
200904,0.64
200905,0.76
200906,0.20
200907,0.42
200908,0.91
200909,1.34
200910,2.86
200911,2.26
200912,2.30
201001,2.57
201002,2.68
201003,-0.11
201004,-0.35
201005,-0.29
201006,-0.33
201007,0.58
201008,-0.33
201009,-0.19
201010,-0.66
201011,-0.90
201012,-1.37
201101,-2.00
201102,-2.24
201103,-3.02
201104,-2.96
201105,-3.03
201106,-4.17
201107,-5.41
201108,-5.61
201109,-5.59
201110,-5.15
201111,-3.93
201112,-3.11
201201,-2.49
201202,-2.05
201203,-1.39
201204,-1.34
201205,-2.20
201206,-2.74
201207,-3.67
201208,-3.80
201209,-3.70
201210,-3.91
201211,-4.39
201212,-4.63
201301,-4.49
201302,-3.77
201303,-3.75
201304,0.43
201305,0.45
201306,0.41
201307,1.43
201308,1.98
201309,-0.29
201310,-0.14
201311,-0.20
201312,-0.10
201401,-0.48
201402,-0.89
201403,-1.01
201404,-1.41
201405,-1.84
201406,0.52
201407,1.41
201408,-0.01
201409,-0.29
201410,-0.22
201411,-0.11
201412,-0.26
201501,-0.34
201502,-0.46
201503,-0.47
201504,0.57
201505,3.57
201506,3.50
201507,4.29
201508,4.26
201509,3.31
201510,3.01
201511,4.11
201512,5.64
201601,4.91
201602,4.11
201603,3.53
201604,4.18
201605,-0.16
201606,-0.39
201607,-0.14
201608,-0.03
201609,-0.10
201610,-0.68
201611,-1.32
201612,-1.86
