#  Oregon Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-2.72
199402,-2.44
199403,-3.13
199404,-3.00
199405,-2.81
199406,-2.66
199407,-2.70
199408,-3.03
199409,-3.12
199410,0.15
199411,0.87
199412,0.63
199501,1.35
199502,0.51
199503,1.02
199504,1.82
199505,1.66
199506,2.10
199507,2.69
199508,2.69
199509,2.35
199510,1.98
199511,2.10
199512,2.77
199601,3.42
199602,4.15
199603,3.10
199604,3.65
199605,4.24
199606,3.57
199607,3.20
199608,2.47
199609,2.30
199610,2.52
199611,3.10
199612,5.06
199701,5.03
199702,3.88
199703,3.58
199704,3.79
199705,2.96
199706,2.78
199707,2.77
199708,2.64
199709,2.90
199710,3.18
199711,2.44
199712,1.43
199801,2.06
199802,2.28
199803,2.09
199804,1.80
199805,3.50
199806,3.19
199807,3.25
199808,2.48
199809,2.02
199810,1.53
199811,2.55
199812,2.77
199901,2.65
199902,4.08
199903,-0.14
199904,-0.45
199905,-0.28
199906,-0.53
199907,-0.62
199908,-0.28
199909,-1.00
199910,-1.21
199911,-1.38
199912,-1.89
200001,-1.22
200002,-0.79
200003,-1.12
200004,-1.33
200005,-1.18
200006,-1.41
200007,-1.58
200008,-1.92
200009,-1.82
200010,-1.42
200011,-1.98
200012,-2.66
200101,-3.46
200102,-3.95
200103,-4.18
200104,-3.48
200105,-3.71
200106,-3.49
200107,-3.22
200108,-3.17
200109,-3.31
200110,-3.18
200111,-2.72
200112,-2.01
200201,-1.61
200202,-2.08
200203,-2.02
200204,-1.81
200205,-2.08
200206,-2.27
200207,-2.74
200208,-3.01
200209,-3.18
200210,-3.75
200211,-4.33
200212,-3.50
200301,-3.24
200302,-3.50
200303,-2.67
200304,-1.37
200305,-1.32
200306,-2.01
200307,-2.71
200308,-2.96
200309,-2.97
200310,-3.42
200311,-3.44
200312,-2.64
200401,-2.11
200402,-1.83
200403,-2.77
200404,-2.87
200405,-2.16
200406,-2.13
200407,-2.02
200408,-1.29
200409,-1.06
200410,-0.63
200411,-1.45
200412,-1.73
200501,-2.53
200502,-3.48
200503,-3.39
200504,0.43
200505,1.73
200506,1.72
200507,1.85
200508,1.23
200509,0.75
200510,0.62
200511,0.81
200512,1.81
200601,2.87
200602,-0.54
200603,-0.28
200604,-0.09
200605,-0.22
200606,-0.29
200607,-0.70
200608,-1.19
200609,-1.50
200610,-2.01
200611,1.04
200612,1.21
200701,-0.75
200702,-0.38
200703,-1.25
200704,-1.20
200705,-1.74
200706,-1.93
200707,-2.31
200708,-2.42
200709,-2.28
200710,-1.57
200711,-1.65
200712,-1.13
200801,-0.56
200802,-1.09
200803,-0.95
200804,-0.77
200805,-0.78
200806,-0.94
200807,-1.22
200808,-1.23
200809,-1.76
200810,-2.13
200811,-2.46
200812,-2.18
200901,-2.65
200902,-2.94
200903,-2.36
200904,-2.23
200905,-1.81
200906,-1.28
200907,-1.01
200908,-0.95
200909,-1.43
200910,-1.02
200911,-1.16
200912,-1.57
201001,-1.61
201002,-2.03
201003,-1.89
201004,0.91
201005,1.53
201006,2.18
201007,2.44
201008,2.27
201009,2.29
201010,2.45
201011,2.40
201012,2.96
201101,2.04
201102,1.71
201103,2.86
201104,3.64
201105,4.17
201106,3.82
201107,3.89
201108,-0.16
201109,-0.90
201110,-1.08
201111,-1.40
201112,-2.16
201201,0.34
201202,-0.35
201203,1.69
201204,1.92
201205,1.65
201206,2.04
201207,2.23
201208,1.64
201209,0.60
201210,1.01
201211,1.22
201212,1.82
201301,-0.76
201302,-1.60
201303,-2.37
201304,-2.23
201305,-1.88
201306,-1.76
201307,-1.79
201308,-1.73
201309,1.86
201310,-0.47
201311,-1.25
201312,-2.29
201401,-3.12
201402,-1.92
201403,-0.99
201404,-0.89
201405,-1.04
201406,-1.19
201407,-1.41
201408,-1.55
201409,-1.59
201410,-1.24
201411,-1.26
201412,-0.80
201501,-1.89
201502,-2.01
201503,-2.65
201504,-2.80
201505,-2.58
201506,-3.17
201507,-3.52
201508,-3.70
201509,-3.65
201510,-3.83
201511,-3.79
201512,-1.79
201601,-1.45
201602,-2.04
201603,-1.34
201604,-1.81
201605,-2.02
201606,-2.31
201607,-2.48
201608,-2.81
201609,-2.94
201610,2.00
201611,1.94
201612,1.98
