#  Pennsylvania Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,2.44
199402,2.36
199403,3.35
199404,2.88
199405,2.47
199406,2.40
199407,2.23
199408,3.89
199409,3.64
199410,-0.56
199411,0.49
199412,0.22
199501,0.49
199502,-0.36
199503,-1.38
199504,-1.61
199505,-1.53
199506,-1.64
199507,-1.87
199508,-3.10
199509,-3.50
199510,0.94
199511,1.58
199512,1.07
199601,2.40
199602,2.08
199603,2.07
199604,2.28
199605,2.32
199606,2.68
199607,3.45
199608,2.80
199609,4.20
199610,4.76
199611,4.93
199612,5.45
199701,4.66
199702,3.88
199703,3.77
199704,2.66
199705,2.57
199706,2.02
199707,1.23
199708,1.51
199709,1.49
199710,0.66
199711,1.52
199712,1.22
199801,1.75
199802,2.05
199803,1.77
199804,2.42
199805,2.00
199806,2.34
199807,-0.55
199808,-1.05
199809,-1.82
199810,-2.00
199811,-3.20
199812,-4.24
199901,-2.51
199902,-2.60
199903,-2.25
199904,-1.93
199905,-2.46
199906,-3.10
199907,-3.97
199908,-3.96
199909,1.07
199910,-0.24
199911,-0.34
199912,-0.56
200001,-0.72
200002,-0.50
200003,-0.74
200004,0.41
200005,0.40
200006,0.88
200007,0.63
200008,0.62
200009,0.83
200010,-0.27
200011,-0.66
200012,-0.59
200101,-0.98
200102,-1.43
200103,-0.88
200104,-1.30
200105,-1.64
200106,-1.51
200107,-1.89
200108,-2.21
200109,-1.85
200110,-2.24
200111,-3.10
200112,-3.35
200201,-3.36
200202,-3.67
200203,-3.13
200204,-2.82
200205,-1.76
200206,-1.32
200207,-2.18
200208,-2.85
200209,0.00
200210,0.72
200211,0.87
200212,1.20
200301,0.88
200302,1.31
200303,-0.36
200304,-0.81
200305,0.46
200306,1.50
200307,2.16
200308,2.83
200309,4.36
200310,4.76
200311,4.72
200312,4.84
200401,4.56
200402,3.93
200403,3.06
200404,3.29
200405,3.17
200406,3.08
200407,4.32
200408,4.80
200409,6.78
200410,6.13
200411,5.63
200412,5.31
200501,6.09
200502,-0.13
200503,0.22
200504,-0.05
200505,-0.66
200506,-1.45
200507,-1.56
200508,-1.95
200509,-2.88
200510,1.04
200511,1.47
200512,1.06
200601,1.54
200602,-0.42
200603,-1.39
200604,-1.50
200605,-1.66
200606,1.71
200607,1.91
200608,1.80
200609,2.47
200610,3.56
200611,3.46
200612,2.64
200701,2.83
200702,2.37
200703,2.34
200704,2.57
200705,-1.01
200706,-1.24
200707,-1.53
200708,-0.69
200709,-1.44
200710,-1.52
200711,0.12
200712,1.09
200801,0.60
200802,1.98
200803,2.74
200804,-0.46
200805,-0.20
200806,-0.32
200807,-0.18
200808,-0.64
200809,-0.44
200810,-0.52
200811,-0.91
200812,1.27
200901,-0.07
200902,-0.74
200903,-1.43
200904,-1.56
200905,0.32
200906,0.75
200907,1.33
200908,1.86
200909,1.57
200910,2.46
200911,-0.82
200912,0.70
201001,0.76
201002,0.73
201003,-0.23
201004,-1.13
201005,-1.21
201006,-1.49
201007,-1.30
201008,-1.69
201009,-1.77
201010,0.67
201011,0.74
201012,0.90
201101,0.37
201102,0.97
201103,2.01
201104,3.80
201105,3.87
201106,2.93
201107,1.76
201108,2.83
201109,5.40
201110,5.93
201111,5.60
201112,5.34
201201,5.05
201202,-0.65
201203,-1.45
201204,-2.03
201205,-1.75
201206,-1.96
201207,-1.72
201208,-1.80
201209,0.62
201210,1.71
201211,0.71
201212,1.64
201301,1.54
201302,-0.31
201303,-0.84
201304,-1.12
201305,-1.44
201306,0.88
201307,1.15
201308,1.24
201309,0.75
201310,0.81
201311,1.04
201312,1.44
201401,1.05
201402,1.32
201403,0.91
201404,0.91
201405,1.21
201406,1.58
201407,1.72
201408,2.00
201409,-0.60
201410,-0.36
201411,-0.45
201412,-0.45
201501,-0.58
201502,-1.08
201503,-0.95
201504,-0.80
201505,-1.66
201506,1.91
201507,1.84
201508,-0.54
201509,-0.41
201510,-0.11
201511,-0.75
201512,-0.45
201601,-0.61
201602,0.75
201603,-1.09
201604,-1.44
201605,-1.38
201606,-1.66
201607,-1.85
201608,-1.93
201609,-2.07
201610,-1.69
201611,-2.54
201612,0.21
