#  Tennessee Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.82
199402,1.43
199403,2.63
199404,3.03
199405,2.75
199406,3.16
199407,3.39
199408,3.43
199409,3.18
199410,3.22
199411,-0.04
199412,-0.48
199501,-0.28
199502,-0.78
199503,-1.25
199504,-1.50
199505,0.56
199506,0.83
199507,0.68
199508,0.83
199509,0.81
199510,1.47
199511,2.11
199512,1.45
199601,1.55
199602,0.86
199603,1.06
199604,1.05
199605,1.01
199606,1.21
199607,2.03
199608,1.92
199609,3.04
199610,3.05
199611,3.80
199612,3.73
199701,3.37
199702,2.94
199703,3.70
199704,3.46
199705,3.64
199706,4.79
199707,3.68
199708,3.41
199709,3.48
199710,3.28
199711,2.71
199712,2.07
199801,1.95
199802,1.66
199803,1.21
199804,2.62
199805,2.29
199806,3.53
199807,3.94
199808,-0.08
199809,-0.99
199810,-1.28
199811,-2.13
199812,0.33
199901,1.28
199902,-0.53
199903,-0.64
199904,-0.91
199905,-0.85
199906,-0.12
199907,-0.37
199908,-1.21
199909,-1.95
199910,-2.06
199911,-2.53
199912,-2.94
200001,-3.04
200002,-3.15
200003,-3.27
200004,-2.06
200005,-1.92
200006,-1.61
200007,-1.92
200008,-2.26
200009,-2.14
200010,-3.09
200011,-2.74
200012,-2.76
200101,-2.77
200102,-1.87
200103,-2.24
200104,-2.74
200105,-0.02
200106,0.29
200107,0.52
200108,0.82
200109,0.96
200110,1.60
200111,1.98
200112,1.92
200201,2.16
200202,1.14
200203,2.22
200204,-0.89
200205,-0.37
200206,-0.91
200207,-1.14
200208,-1.36
200209,1.14
200210,1.88
200211,1.97
200212,2.32
200301,1.36
200302,2.82
200303,1.50
200304,1.54
200305,3.14
200306,3.46
200307,3.80
200308,3.91
200309,4.57
200310,4.05
200311,4.20
200312,3.53
200401,2.73
200402,2.58
200403,1.97
200404,1.98
200405,1.88
200406,2.43
200407,2.54
200408,2.85
200409,3.09
200410,3.67
200411,4.18
200412,4.33
200501,-0.26
200502,-0.48
200503,-1.06
200504,-0.35
200505,-1.09
200506,0.02
200507,0.25
200508,0.91
200509,-0.36
200510,-1.22
200511,-1.53
200512,-1.96
200601,-1.48
200602,-1.85
200603,-2.42
200604,-2.05
200605,-1.86
200606,-1.82
200607,-1.97
200608,-1.82
200609,-1.13
200610,-0.62
200611,-0.57
200612,-0.95
200701,-1.11
200702,-1.74
200703,-2.89
200704,-2.71
200705,-3.42
200706,-3.70
200707,-3.80
200708,-4.96
200709,-4.96
200710,-4.24
200711,-4.18
200712,-4.01
200801,-3.99
200802,-3.84
200803,-3.11
200804,-2.26
200805,-1.75
200806,-2.17
200807,-2.23
200808,-2.20
200809,-2.91
200810,-2.63
200811,-2.94
200812,-1.80
200901,-1.68
200902,-2.19
200903,-2.32
200904,0.00
200905,1.31
200906,1.01
200907,2.09
200908,2.04
200909,3.28
200910,4.70
200911,-0.55
200912,0.38
201001,0.49
201002,-0.41
201003,-0.83
201004,-1.39
201005,1.39
201006,-0.43
201007,-0.67
201008,-0.63
201009,-1.23
201010,-1.34
201011,-1.00
201012,-1.37
201101,-1.67
201102,-1.71
201103,0.42
201104,2.23
201105,2.23
201106,2.55
201107,1.71
201108,0.60
201109,1.61
201110,1.47
201111,2.36
201112,2.53
201201,-0.09
201202,-0.74
201203,-1.28
201204,-2.15
201205,-2.65
201206,-3.12
201207,-2.82
201208,-2.70
201209,0.79
201210,1.25
201211,0.53
201212,0.73
201301,1.62
201302,0.91
201303,0.83
201304,2.08
201305,2.35
201306,2.83
201307,3.77
201308,3.92
201309,3.80
201310,3.17
201311,2.85
201312,3.16
201401,2.27
201402,2.22
201403,1.61
201404,1.92
201405,1.18
201406,2.06
201407,2.05
201408,2.58
201409,2.03
201410,3.28
201411,2.98
201412,2.59
201501,1.76
201502,1.63
201503,1.44
201504,1.75
201505,1.24
201506,1.33
201507,1.98
201508,2.40
201509,2.03
201510,2.23
201511,2.68
201512,3.10
201601,-0.56
201602,-0.21
201603,-0.47
201604,-0.95
201605,-1.00
201606,-0.99
201607,-0.86
201608,-0.36
201609,-1.08
201610,-2.13
201611,-2.67
201612,-2.03
