#  Vermont Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.72
199402,0.03
199403,0.61
199404,0.95
199405,1.11
199406,0.98
199407,1.04
199408,1.60
199409,1.78
199410,-0.87
199411,-1.28
199412,-1.42
199501,-1.18
199502,-1.17
199503,-1.41
199504,-1.65
199505,-1.95
199506,-3.09
199507,-2.87
199508,-2.67
199509,-2.62
199510,1.56
199511,1.80
199512,1.44
199601,2.16
199602,1.90
199603,1.01
199604,2.60
199605,3.15
199606,3.00
199607,4.37
199608,3.27
199609,2.70
199610,3.00
199611,2.65
199612,3.32
199701,3.13
199702,2.79
199703,2.95
199704,2.61
199705,2.58
199706,1.68
199707,1.73
199708,2.47
199709,2.18
199710,1.66
199711,2.22
199712,1.71
199801,2.89
199802,2.44
199803,2.55
199804,1.64
199805,0.80
199806,2.85
199807,3.12
199808,3.26
199809,3.16
199810,-0.07
199811,-0.48
199812,-1.20
199901,1.29
199902,0.53
199903,1.05
199904,-1.39
199905,-1.51
199906,-2.23
199907,-2.44
199908,-3.02
199909,1.48
199910,1.80
199911,1.19
199912,0.33
200001,0.69
200002,1.13
200003,0.85
200004,2.15
200005,2.66
200006,2.42
200007,2.77
200008,2.85
200009,2.34
200010,1.97
200011,1.51
200012,2.09
200101,1.23
200102,1.36
200103,2.56
200104,-1.24
200105,-1.78
200106,-1.78
200107,-1.85
200108,-2.83
200109,-2.74
200110,-3.40
200111,-4.17
200112,-4.25
200201,-3.99
200202,0.38
200203,0.69
200204,0.99
200205,1.34
200206,2.70
200207,-0.34
200208,-1.43
200209,-1.24
200210,-1.03
200211,-0.38
200212,-0.57
200301,-0.94
200302,-1.26
200303,-1.30
200304,-1.33
200305,-1.00
200306,-1.29
200307,0.10
200308,0.61
200309,1.02
200310,2.49
200311,2.57
200312,3.94
200401,2.73
200402,1.65
200403,0.91
200404,0.66
200405,0.96
200406,0.65
200407,1.29
200408,2.95
200409,2.62
200410,1.72
200411,1.46
200412,1.84
200501,1.68
200502,1.39
200503,1.13
200504,1.70
200505,1.33
200506,1.39
200507,1.22
200508,1.04
200509,0.78
200510,3.37
200511,3.73
200512,3.37
200601,3.78
200602,3.13
200603,2.12
200604,1.65
200605,2.55
200606,4.40
200607,4.26
200608,4.35
200609,3.78
200610,5.16
200611,4.06
200612,4.04
200701,3.88
200702,3.47
200703,3.40
200704,4.10
200705,3.32
200706,2.69
200707,3.28
200708,2.68
200709,2.18
200710,2.64
200711,2.90
200712,3.26
200801,2.67
200802,4.39
200803,4.88
200804,4.17
200805,2.92
200806,3.51
200807,4.63
200808,5.23
200809,4.59
200810,5.02
200811,4.09
200812,4.75
200901,4.18
200902,3.55
200903,2.93
200904,1.99
200905,2.41
200906,2.68
200907,3.95
200908,3.87
200909,3.13
200910,3.69
200911,3.24
200912,3.15
201001,2.63
201002,2.64
201003,2.60
201004,1.92
201005,0.96
201006,1.56
201007,1.22
201008,1.28
201009,0.90
201010,3.14
201011,2.54
201012,2.60
201101,2.03
201102,2.36
201103,2.98
201104,4.09
201105,4.66
201106,4.62
201107,3.76
201108,6.13
201109,6.49
201110,6.31
201111,-0.99
201112,-0.79
201201,-0.70
201202,-1.43
201203,-2.33
201204,-2.29
201205,-1.61
201206,-1.52
201207,-1.70
201208,-2.12
201209,-1.41
201210,-0.60
201211,-1.66
201212,-0.71
201301,-1.13
201302,-1.41
201303,-1.60
201304,-1.87
201305,0.73
201306,2.49
201307,3.14
201308,2.70
201309,2.78
201310,2.11
201311,2.06
201312,1.89
201401,1.77
201402,1.91
201403,1.90
201404,1.62
201405,1.74
201406,1.79
201407,2.65
201408,-0.04
201409,-0.77
201410,-0.28
201411,-0.74
201412,-0.06
201501,-0.12
201502,-0.59
201503,-1.39
201504,-1.55
201505,-2.00
201506,2.19
201507,0.04
201508,-0.56
201509,-0.48
201510,-0.39
201511,-1.41
201512,0.68
201601,0.00
201602,1.20
201603,-0.13
201604,-0.39
201605,-0.86
201606,-1.14
201607,-1.28
201608,-1.09
201609,-1.93
201610,-2.11
201611,-2.62
201612,0.12
