#  Virginia Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.03
199402,1.72
199403,3.35
199404,-0.54
199405,-0.76
199406,-1.06
199407,0.59
199408,0.86
199409,-0.15
199410,-0.58
199411,-0.90
199412,-1.59
199501,-0.62
199502,-0.91
199503,-1.48
199504,-2.07
199505,0.41
199506,2.11
199507,-0.37
199508,-1.35
199509,-1.46
199510,0.68
199511,1.13
199512,0.73
199601,1.92
199602,1.64
199603,1.65
199604,1.23
199605,1.70
199606,1.76
199607,2.15
199608,2.57
199609,4.11
199610,4.10
199611,4.31
199612,4.56
199701,-0.19
199702,-0.37
199703,-0.21
199704,-0.03
199705,-0.60
199706,-0.53
199707,-0.55
199708,-1.26
199709,-1.42
199710,-1.70
199711,0.36
199712,0.25
199801,1.74
199802,2.80
199803,3.14
199804,3.46
199805,3.53
199806,3.42
199807,-0.96
199808,-1.60
199809,-2.46
199810,-3.17
199811,-4.15
199812,-4.14
199901,-3.35
199902,-3.46
199903,-3.12
199904,-3.10
199905,-3.41
199906,-3.90
199907,-4.09
199908,-4.32
199909,2.23
199910,2.09
199911,-0.29
199912,-0.61
200001,-0.46
200002,-1.10
200003,-1.41
200004,0.61
200005,0.15
200006,0.84
200007,1.26
200008,1.45
200009,2.00
200010,-0.96
200011,-1.29
200012,-1.50
200101,-1.69
200102,-2.10
200103,-1.46
200104,-2.20
200105,0.29
200106,0.67
200107,1.15
200108,-0.05
200109,-0.34
200110,-1.13
200111,-2.37
200112,-2.98
200201,-3.15
200202,-3.90
200203,-3.27
200204,-3.19
200205,-2.95
200206,-3.25
200207,-3.38
200208,-3.79
200209,-3.72
200210,0.64
200211,1.37
200212,1.76
200301,1.23
200302,2.57
200303,2.43
200304,2.81
200305,3.94
200306,4.92
200307,5.23
200308,5.17
200309,6.52
200310,5.92
200311,5.86
200312,5.81
200401,4.76
200402,3.99
200403,2.77
200404,2.78
200405,2.35
200406,2.88
200407,3.25
200408,3.84
200409,4.98
200410,4.34
200411,4.46
200412,-0.02
200501,-0.07
200502,-0.68
200503,-0.46
200504,-0.56
200505,-0.62
200506,-1.13
200507,-0.78
200508,-1.22
200509,-2.36
200510,-1.61
200511,-1.31
200512,-0.89
200601,-0.98
200602,-1.52
200603,-2.73
200604,-2.69
200605,-2.85
200606,1.51
200607,1.22
200608,0.63
200609,1.78
200610,3.02
200611,3.73
200612,-0.57
200701,-0.58
200702,-0.83
200703,-1.13
200704,-0.80
200705,-1.50
200706,-1.45
200707,-1.97
200708,-2.57
200709,-3.34
200710,-3.00
200711,-3.73
200712,-3.66
200801,-4.07
200802,-3.89
200803,-3.79
200804,-2.47
200805,-1.99
200806,-2.24
200807,-2.28
200808,-2.32
200809,-1.96
200810,-2.42
200811,-2.44
200812,-1.96
200901,-1.80
200902,-2.62
200903,0.11
200904,-0.16
200905,0.84
200906,1.41
200907,1.35
200908,1.24
200909,1.26
200910,1.18
200911,2.51
200912,4.08
201001,4.17
201002,3.80
201003,3.68
201004,-0.96
201005,-1.04
201006,-1.75
201007,-2.74
201008,-2.79
201009,-2.24
201010,-2.00
201011,-2.29
201012,-2.08
201101,-2.48
201102,-2.95
201103,0.63
201104,0.98
201105,0.95
201106,0.55
201107,0.09
201108,0.21
201109,1.24
201110,1.55
201111,1.82
201112,1.80
201201,-0.45
201202,-0.77
201203,-1.11
201204,-1.21
201205,-1.23
201206,-1.42
201207,-1.54
201208,-1.33
201209,-1.04
201210,-0.65
201211,-1.31
201212,-1.31
201301,1.17
201302,0.71
201303,0.80
201304,0.72
201305,0.87
201306,2.22
201307,2.88
201308,2.92
201309,2.20
201310,1.91
201311,1.85
201312,2.81
201401,2.39
201402,2.30
201403,2.03
201404,2.41
201405,2.22
201406,-0.16
201407,-0.36
201408,-0.12
201409,-0.36
201410,0.15
201411,0.32
201412,0.33
201501,0.10
201502,0.02
201503,0.05
201504,0.48
201505,-0.94
201506,1.15
201507,1.30
201508,0.69
201509,1.28
201510,1.77
201511,1.98
201512,2.38
201601,2.10
201602,2.62
201603,1.31
201604,0.68
201605,1.90
201606,2.28
201607,2.13
201608,-0.44
201609,-0.04
201610,-0.05
201611,-0.72
201612,-0.66
