#  Wisconsin Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.20
199402,0.29
199403,-0.56
199404,0.54
199405,-0.88
199406,-1.20
199407,0.71
199408,0.83
199409,1.27
199410,0.91
199411,1.04
199412,-0.32
199501,-0.44
199502,-0.80
199503,0.30
199504,0.75
199505,0.84
199506,-1.08
199507,-1.22
199508,1.19
199509,0.58
199510,1.82
199511,1.99
199512,1.76
199601,2.68
199602,2.24
199603,1.91
199604,1.87
199605,1.44
199606,2.37
199607,2.70
199608,1.81
199609,1.10
199610,1.58
199611,1.80
199612,2.11
199701,2.56
199702,2.25
199703,2.15
199704,1.12
199705,1.13
199706,0.94
199707,1.67
199708,1.94
199709,1.57
199710,1.45
199711,1.00
199712,0.64
199801,1.12
199802,1.44
199803,2.53
199804,1.83
199805,1.23
199806,2.11
199807,-0.94
199808,-0.91
199809,-1.69
199810,-1.63
199811,-2.05
199812,-2.49
199901,0.48
199902,0.59
199903,-0.70
199904,0.60
199905,1.06
199906,0.94
199907,2.78
199908,-0.08
199909,-0.54
199910,-0.92
199911,-1.49
199912,-1.81
200001,-1.60
200002,-1.21
200003,-1.67
200004,-1.61
200005,0.27
200006,1.54
200007,1.89
200008,1.74
200009,1.72
200010,0.80
200011,1.13
200012,1.32
200101,1.32
200102,1.66
200103,0.88
200104,1.79
200105,2.21
200106,2.29
200107,1.55
200108,1.48
200109,1.48
200110,1.49
200111,1.26
200112,1.26
200201,0.82
200202,1.30
200203,1.55
200204,2.29
200205,2.09
200206,2.48
200207,2.11
200208,2.21
200209,2.26
200210,3.22
200211,-0.44
200212,-0.68
200301,-1.01
200302,-1.11
200303,0.12
200304,0.20
200305,0.95
200306,-0.27
200307,-0.34
200308,-1.48
200309,-1.81
200310,-2.36
200311,-2.10
200312,-2.07
200401,-2.02
200402,0.49
200403,1.23
200404,0.73
200405,2.85
200406,2.92
200407,-0.08
200408,-0.20
200409,-0.97
200410,0.48
200411,0.19
200412,0.46
200501,0.87
200502,0.98
200503,-0.27
200504,-1.15
200505,-1.33
200506,-1.63
200507,-1.87
200508,-2.49
200509,-2.64
200510,-2.43
200511,-2.09
200512,-2.02
200601,-1.53
200602,-1.50
200603,-1.08
200604,-1.38
200605,-0.99
200606,-1.79
200607,-1.98
200608,-1.80
200609,-1.89
200610,-1.64
200611,-1.87
200612,-1.43
200701,-1.31
200702,-1.06
200703,-0.71
200704,-0.71
200705,-1.34
200706,-1.92
200707,-2.20
200708,1.21
200709,0.86
200710,1.83
200711,1.13
200712,2.02
200801,2.04
200802,2.28
200803,1.70
200804,2.98
200805,2.69
200806,3.39
200807,3.29
200808,-0.99
200809,-1.50
200810,-1.62
200811,-2.13
200812,0.44
200901,0.18
200902,0.26
200903,0.55
200904,0.75
200905,-0.30
200906,-0.61
200907,-1.01
200908,0.45
200909,-1.17
200910,1.57
200911,0.88
200912,1.59
201001,-0.05
201002,-0.30
201003,-1.17
201004,-1.69
201005,-1.85
201006,1.35
201007,3.17
201008,3.17
201009,4.17
201010,3.86
201011,3.58
201012,3.65
201101,3.24
201102,3.03
201103,3.17
201104,3.53
201105,3.02
201106,2.78
201107,2.86
201108,-0.43
201109,-0.62
201110,-1.15
201111,-1.43
201112,-1.32
201201,-1.15
201202,-0.80
201203,-1.38
201204,-1.35
201205,-0.83
201206,-1.25
201207,-1.66
201208,-2.44
201209,-3.30
201210,-2.47
201211,-2.97
201212,-0.04
201301,0.40
201302,0.82
201303,0.91
201304,2.41
201305,3.11
201306,3.81
201307,2.89
201308,1.96
201309,0.91
201310,1.22
201311,1.18
201312,1.41
201401,1.37
201402,1.45
201403,0.96
201404,2.44
201405,2.34
201406,3.20
201407,2.53
201408,2.90
201409,2.78
201410,3.09
201411,3.17
201412,3.05
201501,2.45
201502,1.84
201503,1.08
201504,1.00
201505,1.40
201506,1.45
201507,1.28
201508,1.29
201509,1.23
201510,1.32
201511,1.93
201512,3.80
201601,3.32
201602,2.90
201603,3.72
201604,3.10
201605,2.50
201606,2.75
201607,3.31
201608,3.64
201609,4.26
201610,4.22
201611,3.69
201612,3.91
