#  Wyoming Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,3.41
199402,3.78
199403,3.49
199404,-0.06
199405,-1.11
199406,-1.95
199407,-2.49
199408,-2.97
199409,-3.30
199410,1.57
199411,1.83
199412,1.65
199501,1.73
199502,1.81
199503,2.23
199504,2.76
199505,4.53
199506,4.91
199507,5.21
199508,4.81
199509,4.85
199510,4.88
199511,4.86
199512,4.48
199601,4.83
199602,4.64
199603,4.96
199604,4.63
199605,5.03
199606,3.84
199607,3.00
199608,2.15
199609,1.94
199610,2.06
199611,2.16
199612,3.17
199701,3.71
199702,3.81
199703,3.80
199704,4.30
199705,3.82
199706,3.64
199707,4.30
199708,4.92
199709,4.95
199710,4.73
199711,3.91
199712,3.44
199801,3.47
199802,3.22
199803,3.62
199804,3.25
199805,2.39
199806,3.48
199807,4.14
199808,4.44
199809,4.00
199810,5.08
199811,4.92
199812,4.58
199901,4.67
199902,4.93
199903,4.58
199904,5.80
199905,5.47
199906,5.31
199907,4.95
199908,4.49
199909,4.47
199910,-0.77
199911,-1.76
199912,-2.03
200001,-2.05
200002,-2.00
200003,-2.55
200004,-3.02
200005,-2.97
200006,-3.46
200007,-4.29
200008,-4.91
200009,-4.33
200010,-4.09
200011,-3.84
200012,-3.77
200101,-4.31
200102,-4.42
200103,-5.25
200104,-5.63
200105,-6.27
200106,-6.73
200107,-7.04
200108,-7.55
200109,-7.43
200110,-6.78
200111,-6.54
200112,-6.39
200201,-6.51
200202,-6.87
200203,-7.05
200204,-7.41
200205,-7.51
200206,-8.33
200207,-9.02
200208,-8.68
200209,-7.89
200210,-6.66
200211,-6.24
200212,-6.18
200301,-6.05
200302,-5.67
200303,-4.84
200304,-4.93
200305,-4.92
200306,-4.25
200307,-4.79
200308,-4.99
200309,-4.49
200310,-4.75
200311,-4.28
200312,-3.78
200401,-3.96
200402,-3.72
200403,-4.89
200404,-5.51
200405,-5.80
200406,-5.78
200407,-5.65
200408,-5.32
200409,-4.28
200410,-3.37
200411,-3.34
200412,-3.38
200501,-3.32
200502,-3.62
200503,-4.00
200504,-4.09
200505,-2.98
200506,-2.63
200507,-2.70
200508,-2.36
200509,-2.53
200510,-2.06
200511,-1.86
200512,-1.59
200601,-1.53
200602,-1.59
200603,-1.66
200604,-2.41
200605,-3.11
200606,-4.24
200607,-5.36
200608,-5.52
200609,-4.67
200610,-3.88
200611,-3.71
200612,-3.55
200701,-3.73
200702,-3.74
200703,-4.32
200704,-4.93
200705,-4.88
200706,-5.51
200707,-6.05
200708,-5.88
200709,-5.53
200710,-4.42
200711,-4.60
200712,-4.04
200801,-3.79
200802,-3.59
200803,-3.43
200804,-3.55
200805,1.39
200806,-0.11
200807,-0.22
200808,-0.49
200809,-0.23
200810,-0.13
200811,-0.57
200812,-0.48
200901,-0.29
200902,-0.64
200903,0.10
200904,0.66
200905,-0.62
200906,1.10
200907,1.68
200908,2.05
200909,1.33
200910,2.53
200911,-0.54
200912,-0.51
201001,-0.74
201002,-0.97
201003,-1.28
201004,0.25
201005,1.40
201006,1.96
201007,2.33
201008,2.34
201009,1.32
201010,1.04
201011,1.22
201012,1.75
201101,1.71
201102,1.84
201103,2.23
201104,3.04
201105,4.87
201106,4.37
201107,4.08
201108,-0.30
201109,-0.99
201110,0.43
201111,0.69
201112,0.49
201201,0.31
201202,0.58
201203,-1.29
201204,-2.48
201205,-3.07
201206,-4.48
201207,-5.50
201208,-6.57
201209,-6.94
201210,-6.23
201211,-6.21
201212,-5.71
201301,-5.79
201302,-5.87
201303,-6.52
201304,-6.11
201305,-5.75
201306,-6.40
201307,-6.56
201308,-6.67
201309,1.18
201310,2.50
201311,1.94
201312,1.95
201401,1.79
201402,2.49
201403,3.20
201404,2.87
201405,2.30
201406,2.14
201407,1.98
201408,3.01
201409,3.36
201410,-0.71
201411,0.38
201412,0.74
201501,-0.23
201502,-0.11
201503,-1.15
201504,-1.57
201505,1.75
201506,1.49
201507,1.79
201508,0.04
201509,-0.69
201510,-1.03
201511,-0.92
201512,-0.80
201601,-0.96
201602,-1.13
201603,0.15
201604,0.43
201605,0.76
201606,-0.99
201607,-1.64
201608,-2.02
201609,0.52
201610,0.79
201611,0.03
201612,0.59
