#  Alabama January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,60.33,4.70
199512,59.57,3.94
199612,58.33,2.70
199712,62.96,7.33
199812,59.26,3.63
199912,49.01,-6.62
200012,42.49,-13.14
200112,59.04,3.41
200212,57.13,1.50
200312,63.72,8.09
200412,59.88,4.25
200512,57.08,1.45
200612,47.54,-8.09
200712,37.86,-17.77
200812,53.07,-2.56
200912,73.77,18.14
201012,47.19,-8.44
201112,50.71,-4.92
201212,53.38,-2.25
201312,64.70,9.07
201412,56.03,0.40
201512,61.36,5.73
201612,45.01,-10.62
