#  Arkansas January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,54.39,3.59
199512,42.85,-7.95
199612,51.76,0.96
199712,51.93,1.13
199812,49.17,-1.63
199912,43.80,-7.00
200012,45.70,-5.10
200112,55.41,4.61
200212,52.83,2.03
200312,44.84,-5.96
200412,57.02,6.22
200512,35.75,-15.05
200612,49.33,-1.47
200712,46.70,-4.10
200812,60.48,9.68
200912,72.20,21.40
201012,38.79,-12.01
201112,55.84,5.04
201212,39.81,-10.99
201312,54.24,3.44
201412,47.91,-2.89
201512,67.31,16.51
201612,50.44,-0.36
