#  Colorado January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,17.13,-1.05
199512,21.79,3.61
199612,19.85,1.67
199712,22.24,4.06
199812,18.77,0.59
199912,20.03,1.85
200012,16.91,-1.27
200112,16.81,-1.37
200212,11.85,-6.33
200312,16.44,-1.74
200412,18.93,0.75
200512,18.95,0.77
200612,18.67,0.49
200712,18.71,0.53
200812,17.46,-0.72
200912,18.79,0.61
201012,18.19,0.01
201112,17.62,-0.56
201212,12.31,-5.87
201312,18.79,0.61
201412,19.14,0.96
201512,21.73,3.55
201612,17.08,-1.10
