#  Idaho January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,20.39,-3.46
199512,31.11,7.26
199612,32.10,8.25
199712,25.28,1.43
199812,28.95,5.10
199912,22.64,-1.21
200012,20.89,-2.96
200112,19.13,-4.72
200212,18.98,-4.87
200312,22.56,-1.29
200412,23.18,-0.67
200512,24.58,0.73
200612,26.38,2.53
200712,19.56,-4.29
200812,21.97,-1.88
200912,22.88,-0.97
201012,26.14,2.29
201112,24.69,0.84
201212,25.71,1.86
201312,17.64,-6.21
201412,26.47,2.62
201512,22.52,-1.33
201612,24.88,1.03
