#  Kansas January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,25.00,-3.34
199512,29.68,1.34
199612,30.76,2.42
199712,30.29,1.95
199812,32.31,3.97
199912,30.26,1.92
200012,25.48,-2.86
200112,27.75,-0.59
200212,22.44,-5.90
200312,25.11,-3.23
200412,30.91,2.57
200512,29.60,1.26
200612,24.73,-3.61
200712,33.26,4.92
200812,33.34,5.00
200912,31.80,3.46
201012,27.84,-0.50
201112,24.17,-4.17
201212,19.29,-9.05
201312,29.03,0.69
201412,25.43,-2.91
201512,32.77,4.43
201612,30.68,2.34
