#  Kentucky January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,48.66,-1.01
199512,47.95,-1.72
199612,56.75,7.08
199712,49.05,-0.62
199812,49.32,-0.35
199912,38.09,-11.58
200012,45.29,-4.38
200112,45.43,-4.24
200212,53.51,3.84
200312,55.98,6.31
200412,55.94,6.27
200512,39.80,-9.87
200612,52.37,2.70
200712,41.86,-7.81
200812,46.51,-3.16
200912,54.35,4.68
201012,43.54,-6.13
201112,64.35,14.68
201212,43.21,-6.46
201312,55.78,6.11
201412,47.11,-2.56
201512,58.30,8.63
201612,49.19,-0.48
