#  Maine January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,41.68,-4.33
199512,42.72,-3.29
199612,51.39,5.38
199712,39.51,-6.50
199812,45.24,-0.77
199912,46.35,0.34
200012,43.15,-2.86
200112,29.83,-16.18
200212,40.98,-5.03
200312,46.02,0.01
200412,38.80,-7.21
200512,61.59,15.58
200612,51.65,5.64
200712,47.63,1.62
200812,56.02,10.01
200912,49.46,3.45
201012,49.31,3.30
201112,50.04,4.03
201212,47.38,1.37
201312,45.61,-0.40
201412,49.45,3.44
201512,43.16,-2.85
201612,41.36,-4.65
