#  Maryland January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,45.83,0.98
199512,39.53,-5.32
199612,58.97,14.12
199712,38.77,-6.08
199812,42.46,-2.39
199912,44.27,-0.58
200012,43.92,-0.93
200112,36.02,-8.83
200212,41.47,-3.38
200312,60.74,15.89
200412,46.59,1.74
200512,44.03,-0.82
200612,44.97,0.12
200712,36.05,-8.80
200812,45.00,0.15
200912,51.27,6.42
201012,40.89,-3.96
201112,51.11,6.26
201212,40.40,-4.45
201312,46.04,1.19
201412,44.76,-0.09
201512,46.86,2.01
201612,41.66,-3.19
