#  Minnesota January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,28.23,-0.01
199512,29.51,1.27
199612,27.77,-0.47
199712,25.20,-3.04
199812,28.83,0.59
199912,29.67,1.43
200012,27.98,-0.26
200112,29.28,1.04
200212,28.59,0.35
200312,22.20,-6.04
200412,29.87,1.63
200512,31.60,3.36
200612,22.78,-5.46
200712,29.21,0.97
200812,27.34,-0.90
200912,26.38,-1.86
201012,33.44,5.20
201112,24.35,-3.89
201212,26.17,-2.07
201312,29.01,0.77
201412,29.12,0.88
201512,29.46,1.22
201612,33.54,5.30
