#  Mississippi January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,60.49,3.66
199512,57.44,0.61
199612,54.12,-2.71
199712,64.85,8.02
199812,57.05,0.22
199912,47.90,-8.93
200012,44.64,-12.19
200112,66.28,9.45
200212,66.08,9.25
200312,58.98,2.15
200412,65.81,8.98
200512,50.64,-6.19
200612,52.47,-4.36
200712,41.78,-15.05
200812,59.44,2.61
200912,68.42,11.59
201012,43.91,-12.92
201112,52.84,-3.99
201212,59.17,2.34
201312,62.93,6.10
201412,58.22,1.39
201512,60.57,3.74
201612,53.13,-3.70
