#  Missouri January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,42.08,-0.59
199512,42.05,-0.62
199612,43.68,1.01
199712,39.81,-2.86
199812,49.87,7.20
199912,36.85,-5.82
200012,35.70,-6.97
200112,43.61,0.94
200212,40.21,-2.46
200312,40.03,-2.64
200412,44.53,1.86
200512,36.40,-6.27
200612,38.01,-4.66
200712,39.58,-3.09
200812,56.10,13.43
200912,51.71,9.04
201012,44.57,1.90
201112,45.70,3.03
201212,31.03,-11.64
201312,45.71,3.04
201412,39.31,-3.36
201512,55.52,12.85
201612,39.44,-3.23
