#  Nebraska January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,21.90,-1.68
199512,25.18,1.60
199612,25.48,1.90
199712,22.14,-1.44
199812,25.93,2.35
199912,22.84,-0.74
200012,20.36,-3.22
200112,24.48,0.90
200212,15.65,-7.93
200312,19.98,-3.60
200412,22.92,-0.66
200512,23.57,-0.01
200612,21.56,-2.02
200712,28.64,5.06
200812,28.09,4.51
200912,25.70,2.12
201012,27.06,3.48
201112,25.81,2.23
201212,13.36,-10.22
201312,23.44,-0.14
201412,24.98,1.40
201512,28.06,4.48
201612,25.31,1.73
