#  New Jersey January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,47.31,0.06
199512,39.70,-7.55
199612,59.18,11.93
199712,42.87,-4.38
199812,41.75,-5.50
199912,47.26,0.01
200012,45.25,-2.00
200112,35.55,-11.70
200212,45.91,-1.34
200312,56.48,9.23
200412,48.70,1.45
200512,48.81,1.56
200612,51.41,4.16
200712,46.93,-0.32
200812,47.22,-0.03
200912,53.17,5.92
201012,44.60,-2.65
201112,63.95,16.70
201212,41.99,-5.26
201312,46.38,-0.87
201412,48.95,1.70
201512,43.86,-3.39
201612,39.59,-7.66
