#  New Mexico January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,14.43,0.75
199512,11.74,-1.94
199612,14.13,0.45
199712,18.64,4.96
199812,14.10,0.42
199912,14.95,1.27
200012,13.36,-0.32
200112,11.82,-1.86
200212,12.29,-1.39
200312,9.07,-4.61
200412,17.25,3.57
200512,14.34,0.66
200612,15.97,2.29
200712,14.75,1.07
200812,13.74,0.06
200912,11.94,-1.74
201012,14.82,1.14
201112,9.80,-3.88
201212,8.41,-5.27
201312,13.67,-0.01
201412,13.20,-0.48
201512,19.33,5.65
201612,12.94,-0.74
