#  Pennsylvania January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,48.19,3.61
199512,37.51,-7.07
199612,56.30,11.72
199712,38.80,-5.78
199812,40.41,-4.17
199912,41.12,-3.46
200012,41.38,-3.20
200112,34.34,-10.24
200212,43.55,-1.03
200312,53.57,8.99
200412,53.90,9.32
200512,42.97,-1.61
200612,47.56,2.98
200712,44.11,-0.47
200812,45.82,1.24
200912,42.77,-1.81
201012,42.30,-2.28
201112,60.99,16.41
201212,43.49,-1.09
201312,41.82,-2.76
201412,42.43,-2.15
201512,43.09,-1.49
201612,38.99,-5.59
