#  Utah January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,13.12,-0.58
199512,15.55,1.85
199612,14.18,0.48
199712,16.80,3.10
199812,17.40,3.70
199912,12.43,-1.27
200012,13.53,-0.17
200112,11.69,-2.01
200212,9.04,-4.66
200312,11.53,-2.17
200412,15.27,1.57
200512,16.68,2.98
200612,14.41,0.71
200712,11.28,-2.42
200812,11.66,-2.04
200912,11.80,-1.90
201012,17.23,3.53
201112,14.71,1.01
201212,10.69,-3.01
201312,13.21,-0.49
201412,13.33,-0.37
201512,15.41,1.71
201612,14.04,0.34
