#  Vermont January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,43.08,-3.60
199512,42.19,-4.49
199612,52.62,5.94
199712,42.78,-3.90
199812,47.53,0.85
199912,42.45,-4.23
200012,48.62,1.94
200112,34.36,-12.32
200212,47.26,0.58
200312,49.82,3.14
200412,41.85,-4.83
200512,52.39,5.71
200612,54.28,7.60
200712,48.83,2.15
200812,54.63,7.95
200912,47.43,0.75
201012,49.21,2.53
201112,58.22,11.54
201212,42.35,-4.33
201312,46.56,-0.12
201412,46.08,-0.60
201512,42.44,-4.24
201612,38.62,-8.06
