#  Washington January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,42.51,-1.66
199512,51.08,6.91
199612,54.95,10.78
199712,51.07,6.90
199812,48.61,4.44
199912,49.30,5.13
200012,34.21,-9.96
200112,39.16,-5.01
200212,36.51,-7.66
200312,43.47,-0.70
200412,37.65,-6.52
200512,38.64,-5.53
200612,50.26,6.09
200712,40.24,-3.93
200812,37.39,-6.78
200912,39.90,-4.27
201012,47.32,3.15
201112,43.82,-0.35
201212,52.87,8.70
201312,35.68,-8.49
201412,48.80,4.63
201512,43.25,-0.92
201612,49.14,4.97
