#  Wisconsin January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,30.89,-2.17
199512,32.88,-0.18
199612,33.00,-0.06
199712,28.43,-4.63
199812,32.43,-0.63
199912,33.25,0.19
200012,34.19,1.13
200112,35.05,1.99
200212,35.08,2.02
200312,28.02,-5.04
200412,34.91,1.85
200512,28.55,-4.51
200612,30.07,-2.99
200712,33.49,0.43
200812,32.72,-0.34
200912,29.76,-3.30
201012,39.02,5.96
201112,31.04,-2.02
201212,28.80,-4.26
201312,36.53,3.47
201412,37.08,4.02
201512,35.88,2.82
201612,39.39,6.33
