#  Wyoming January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,14.02,-1.86
199512,20.28,4.40
199612,17.30,1.42
199712,17.98,2.10
199812,19.57,3.69
199912,15.94,0.06
200012,14.31,-1.57
200112,11.91,-3.97
200212,11.97,-3.91
200312,15.13,-0.75
200412,14.56,-1.32
200512,16.27,0.39
200612,12.74,-3.14
200712,15.05,-0.83
200812,16.05,0.17
200912,17.00,1.12
201012,17.25,1.37
201112,18.55,2.67
201212,10.96,-4.92
201312,16.31,0.43
201412,18.09,2.21
201512,16.71,0.83
201612,17.28,1.40
